"lg" "pos1" "pos2" "ks"
2 5837267 5852720 0.1501
2 5868958 5878298 0.1845
2 6218344 6221725 0.0339
2 6248379 6254075 0.2192
2 6248379 6254075 0.1857
2 6254142 6263583 0.1724
2 6502186 6507763 0.1842
2 7374750 7417719 0.1889
2 7709432 7715812 0.1411
2 8546800 8561289 0.1731
2 8646351 8649168 0.1869
2 8646351 8649168 0.2708
2 8651143 8652237 0.114
2 8790724 8810598 0.1795
2 9043062 9051779 0.1818
2 9116332 9139014 0.0976
2 9204468 9207737 0.1405
2 9428833 9438117 0.1494
2 9716095 9718781 0.0833
2 9756926 9765985 0.0967
2 10100660 10114418 0.1327
2 10126536 10191562 0.3095
2 10247846 10255097 0.1289
2 10556049 10563252 0.1598
2 10570981 10573911 0.0263
2 11101817 11113827 0.05
2 11156528 11166608 0.1267
2 11195298 11205427 0.1428
2 11208619 11242295 0.4716
2 11246365 11263230 0.1496
2 11310523 11317108 0.1262
2 11486094 11493188 0.0815
2 11613372 11616719 0.1291
2 11641947 11646959 0.1129
2 11722154 11730039 0.2805
2 11722154 11730039 0.1794
2 11794052 11818684 0.1596
2 11953016 11953596 0.0806
2 12011446 12015686 0.1933
2 12111558 12113883 0.1354
2 12593892 12606851 0.021
2 12728201 12750898 0.1362
2 12798371 12804397 0.1085
2 13354960 13361429 0.1645
2 13387601 13389773 0.036
2 13433139 13446582 1.0984
2 13583174 13588458 0.1372
2 13766137 13772502 0.1359
2 13766137 13772502 0.0786
2 13830516 13837160 0.1603
2 14958597 14964917 0.12
2 14972131 14987084 0.1594
2 15258520 15263264 0.0921
2 15508707 15527513 0.1189
2 15546599 15556143 0.1033
2 15594443 15597613 0.2448
2 15611122 15638187 0.212
2 16344186 16345923 0.1335
2 16530824 16543473 0.1643
2 16545907 16561468 0.1661
2 17770795 17780544 0.1811
2 18050954 18082549 0.359
2 18319192 18327379 0.3203
2 18508654 18511010 0.2355
2 18508654 18511010 0.1157
2 18978832 18987772 0.2834
2 19161545 19179476 0.3344
2 19161545 19179476 0.8644
2 19609208 19617388 0.5324
2 19620980 19627251 0.2175
2 19628202 19633486 0.3775
2 19628202 19633486 0.2019
2 21429969 21436380 0.2457
2 21783698 21793559 0.5856
2 21884353 21888743 0.2023
2 22032095 22033496 0.3185
2 22344481 22347368 0.2981
2 22344481 22347368 0.0407
2 22369179 22372454 0.0305
2 22645723 22648447 0.163
2 22662092 22672812 0.2781
2 22662092 22672812 0.1824
2 22996403 23017997 0.363
3 61645 62006 0.1395
3 67525 69733 0.0531
3 639394 651698 0.276
3 659228 681226 0.2173
3 686079 690205 0.5743
3 686079 690205 0.4684
3 703525 708437 0.3458
3 815615 833164 0.1976
3 948765 953424 0.1575
3 1446399 1449815 0.4251
3 1491421 1496838 0.1748
3 1584858 1598818 0.1976
3 1601834 1608377 0.1794
3 1601834 1608377 0.2893
3 1651826 1658273 0.1948
3 1651826 1658273 0.1981
3 1652723 1653751 0.0334
3 2114207 2121278 0.2464
3 2756952 2758757 0.1614
3 2930749 2933747 0.1683
3 2976579 2982013 0.1248
3 3301256 3346169 0.2757
3 3914291 3917139 0.2442
3 4404854 4405859 0.0564
3 4581095 4703290 0.2588
3 5080003 5084046 0.1631
3 5190441 5212962 0.2929
3 5578775 5596153 0.0767
3 5578775 5596153 0.3865
3 5578775 5596153 0.498
3 5866884 5872696 0.2334
3 5925218 5932467 0.2448
3 5925218 5932467 0.1759
3 6049832 6063238 0.197
3 6154751 6172107 0.2606
3 6657844 6658807 0.1585
3 7108939 7139661 0.1335
3 7108939 7139661 0.1207
3 7202744 7209376 0.1222
3 7217340 7220245 0.1207
3 7427682 7446663 0.0501
3 7559943 7569122 0.3441
3 8009129 8017815 0.1946
3 8009129 8017815 0.1909
3 8228521 8241639 0.3649
3 8246334 8249423 0.177
3 8459524 8461028 0.2133
3 8582456 8586301 0.1986
3 8857076 8860194 0.2152
3 8973992 8977937 0.1462
3 8999015 9003369 3.1196
3 9036495 9039868 0.1172
3 9057179 9068211 0.2357
3 9367536 9370453 0.1565
3 9378475 9381561 0.0507
3 9402021 9405305 0.2107
3 9564767 9568355 0.1166
3 9677722 9687577 0.1199
3 9794901 9798464 0.2246
3 9805884 9807571 0.3368
3 9947686 9964147 0.1389
3 10056598 10062502 0.1836
3 10062736 10068969 0.2381
3 10114734 10119038 0.1178
3 10127740 10133623 0.2732
3 10283986 10298923 0.1658
3 10346412 10355074 99
3 10646496 10648670 0.1204
3 10847282 10862925 0.0451
3 10874901 10881618 0.1717
3 10950339 10953424 0.108
3 10972825 10998567 0.035
3 11139076 11147173 0.133
3 11211369 11222868 0.1332
3 11266272 11286371 0.0602
3 11461180 11467011 0.0864
3 11475625 11485366 0.1186
3 11833742 11836530 0.0932
3 11833742 11836530 0.2915
3 12263326 12266169 0.1644
3 12367900 12400959 0.2455
3 12420194 12426654 0.1541
3 12508327 12518247 0.1241
3 12808960 12812334 NA
3 12808960 12812334 0.3169
3 12909582 12925141 0.1344
3 12964158 12979929 0.1547
3 13313541 13317526 0.3116
3 13414144 13422881 0.1603
3 13414144 13422881 0.1541
3 13432276 13434350 0.3597
3 13637117 13651738 0.2988
3 13672383 13693975 0.1104
3 13733804 13735972 0.2548
3 13910747 13912276 1.5417
3 14034859 14037288 0.1309
3 14147862 14154214 0.3436
3 14147862 14154214 0.2546
3 14252482 14261760 0.9467
3 15167466 15170775 0.1738
3 15871199 15879067 0.2748
3 15879522 15889696 0.2222
3 16092058 16098924 0.2136
3 16233544 16240384 0.1433
3 16340737 16348701 0.0904
3 16465506 16473530 0
3 16727415 16733487 0.322
4 36406 48625 0.1003
4 52404 57303 0.2352
4 62360 78815 0.1856
4 166206 169934 0.1764
4 204213 205371 0.416
4 306409 310477 0.3196
4 812078 814424 0.19
4 983296 986835 0.3305
4 1368026 1374881 0.5866
4 1429479 1436213 0.1593
4 1788271 1792398 0.22
4 1788271 1792398 0.3631
4 1958013 1970369 0.0862
4 2044920 2048363 0.1874
4 2274383 2291325 0.3577
4 2804460 2817712 0.1462
4 3512927 3533277 0.1413
4 3811447 3818351 0.1993
4 3949848 3953099 0.1039
4 4958777 4996893 0.2135
4 5025485 5026396 0.1268
4 5239852 5249268 0.1678
4 5250116 5266364 0.1666
4 5444600 5449528 0.12
4 5465178 5469864 0.1015
4 5656926 5700384 0.0969
4 5656926 5700384 0.1714
4 5726916 5729912 0.2354
4 5736260 5741815 0.2487
4 5886034 5889741 3.5041
4 5886034 5889741 0.5232
4 6059699 6062416 0.1151
4 6128331 6137952 0.2268
4 6433610 6434933 0.3529
4 6436434 6440360 0.4941
4 6637778 6644883 0.0228
4 6647526 6652078 0.1923
4 6667356 6670230 0.2277
4 6701110 6703657 0.0841
4 6704968 6707433 0.144
4 7480346 7482175 0.0562
4 7935974 7942706 0.1353
4 8205476 8214826 0.189
4 8369911 8376071 0.1378
4 9060971 9066262 0.1584
4 9188139 9197982 0.106
4 9213999 9216851 0.1251
4 9213999 9216851 0.1791
4 9284842 9299649 0.4011
4 9301783 9304461 0.2685
4 9387103 9394353 0.0837
4 9462684 9463736 0.1495
4 9760072 9818687 0.2279
4 9891646 9894039 0.0885
4 10011240 10014333 0.134
4 10229454 10232135 0.053
4 10308234 10319145 0.0886
4 10320593 10328685 0.113
4 10687390 10690122 0.0844
4 10953105 10958318 0.0886
4 11075050 11077381 0.1539
4 11092615 11102092 0.163
4 11277608 11284180 0.1578
4 11277608 11284180 0.178
4 11369935 11375266 0.17
4 11472856 11477288 0.0406
4 11472856 11477288 0.1458
4 11522338 11536820 0.0774
4 11538994 11545411 0.1858
4 11684734 11693021 0.2032
4 11736941 11737642 0.2274
4 11746564 11751010 0.1738
4 11826390 11829208 0.1612
4 11854583 11862355 0.0758
4 12313008 12315929 0.1719
4 12424107 12436050 0.1218
4 12660845 12838539 0.2716
4 12700707 12768384 0.0675
4 12962154 12969566 0.1005
4 13220801 13248223 0.2452
4 13258735 13265652 0.1415
4 13399655 13402595 0.3097
4 13527626 13591025 0.14
4 13982895 13987174 0.1433
4 14058422 14069207 0.2134
4 15043955 15047549 0.0823
4 15052253 15058258 0.1105
4 15062301 15064804 0.1874
4 15071091 15091831 0.1484
4 15190465 15198204 0.1617
4 15526994 15532191 0.2774
4 15719840 15725466 0.1971
4 15824416 15838639 0.1277
4 15954004 15959049 0.3395
4 16071855 16095734 0.2049
4 16164001 16171694 0.0554
4 16297039 16301643 0.1983
4 16533394 16548513 0.2016
4 16772040 16776220 0.1717
4 17450715 17455584 0.3864
4 17925840 17930213 0.1009
4 18488149 18495417 0.2564
4 18543783 18547349 2.0786
4 18741714 18751286 0.2936
4 18828360 18832101 0.2439
4 19314830 19379883 0.1251
4 19502772 19504901 0.0572
4 20374567 20407295 0.0645
4 20917221 20932399 0.1228
4 20945694 20956175 0.1603
4 21221532 21246568 0.1123
4 21262685 21271766 0.1284
4 22027107 22030588 0.1768
4 22551103 22579176 0.1352
4 23687033 23688966 0.1345
4 23806218 23810016 0.3177
4 23811090 23816322 0.2197
4 23864187 23890676 0.1838
4 23961613 23967201 0.1107
4 24520701 24530277 0.2733
4 24630021 24640628 0.0975
4 24957846 24971820 0.2851
4 25082914 25088724 0.2046
4 25789342 25800959 0.1636
4 25849279 25873712 0.082
4 26021971 26033263 0.1469
4 26207852 26212571 0.1862
4 26250725 26269765 0.1713
4 26349154 26359682 0.0787
4 26349154 26359682 0.1505
4 26375264 26387285 0.1191
4 28316948 28326061 0.1735
4 28378013 28403440 0.1244
4 28457178 28459966 0.1514
4 29560357 29567460 0.1591
4 30118637 30232386 2.8469
4 30411949 30419505 0.108
4 30481780 30482190 0.1492
4 30547378 30561073 0.3165
4 30597678 30600528 0.2029
4 30901709 30906129 0.2338
4 30973669 30979069 0.232
4 31017618 31022772 0.2649
4 31090663 31094886 0.4083
4 31271783 31278804 0.1143
4 31515284 31530816 0.179
4 31604014 31607594 3.197
4 31608077 31608636 0.5037
4 31709728 31725250 0.2795
4 31771885 31775335 0.0889
4 32098461 32108128 0.193
4 32137226 32150243 2.063
4 32236559 32240853 0.1746
4 32240950 32243596 0.3083
4 32364662 32371197 0.2498
4 32379737 32384613 0.2546
4 32384728 32387831 0.2203
4 32488034 32538593 0.1989
4 32581142 32587104 0.1481
4 32581142 32587104 0.2675
4 32590582 32593730 0.263
4 32590582 32593730 0.369
5 275506 294583 0.3612
5 786575 789652 0.2248
5 834469 835775 0.1566
5 842100 847047 0.2674
5 1235261 1240713 0.2263
5 1280667 1289098 0.3393
5 1488301 1595530 0.1199
5 1746291 1792725 0.1516
5 1856846 1875130 0.0888
5 1889351 1897596 0.0275
5 1948087 1960541 0.1834
5 1964805 1971970 0.0655
5 2070676 2081595 0.1633
5 2083269 2085300 2.1667
5 2092529 2120943 0.1334
5 2092529 2120943 0.0661
5 2239200 2246209 0.3256
5 2254186 2259462 0.279
5 2529074 2539884 0.2395
5 3438514 3454716 0.167
5 3960091 3962905 0.1935
5 4131759 4156082 0.15
5 4765028 4781148 0.3876
5 4765028 4781148 0.2742
5 4919290 4923420 0.5866
5 5581534 5583308 0.205
5 5992126 5999676 0.2461
5 6197315 6212262 0.4403
5 6835177 6843962 0.0936
5 7046532 7049808 0.0394
5 7046532 7049808 0.184
5 8058949 8060987 0.0327
5 8061728 8074029 0.0828
5 8348655 8373662 0.4515
5 8794308 8796691 0.4054
5 9518126 9521094 0.2446
5 9593495 9596985 0.6676
5 9634157 9637430 0.562
5 9715934 9724579 0.2223
5 9729966 9739512 0.168
5 9740351 9744541 0.2599
5 9752010 9753346 0.1505
5 9759868 9760821 0.1909
5 9854759 9863173 0.2512
5 9942067 9963447 0.1399
5 10321127 10325727 0.1958
5 10353937 10357125 0.1174
5 10425668 10426748 0.4231
5 10509715 10512933 0.1015
5 10669071 10673105 0.2388
5 11374771 11375978 0.1974
5 11376040 11380955 0.2808
5 11376040 11380955 0.1486
5 11530314 11534646 0.2474
5 11544593 11550263 0.5862
5 11579931 11584815 0.3806
5 11771822 11778526 0.2294
5 12116420 12128789 0.4076
5 12143018 12152536 0.1618
5 12199130 12200797 0.3964
5 12199130 12200797 0.715
5 12216057 12219723 2.5329
6 255380 298465 0.1696
6 341078 386283 0.103
6 341078 386283 0.1544
6 498779 507522 0.2233
6 734075 746734 0.4502
6 933407 934265 0.2228
6 934292 937136 0.1858
6 938533 978442 2.0077
6 993318 996867 0.04
6 1139738 1140597 0.168
6 1320205 1324886 0.0891
6 2275401 2286634 0.2353
6 2319890 2328619 0.1622
6 2548568 2553753 0.1336
6 2623392 2632513 0.1837
6 2860444 2863959 0.1802
6 2946546 2951616 0.049
6 3094294 3115753 0.2789
6 3165689 3200700 0.0893
6 3442409 3447586 0.1202
6 3442409 3447586 0.1991
6 3639819 3643625 0.1685
6 3650932 3694163 0.0806
6 3650932 3694163 0.1019
6 3971466 3979314 0.195
6 4390950 4392855 0.2178
6 4394224 4397054 0.1646
6 4400114 4418230 0.185
6 4996563 4999091 3.7277
6 5204637 5226996 0.092
6 5817187 5820331 0.1691
6 5820167 5821469 0.7644
6 5842529 5847391 0.1491
6 5854317 5864318 0.1831
6 5884178 5891657 0.1217
6 6087120 6093868 0.2152
6 6106690 6131567 0.1955
6 6358824 6377941 0.318
6 6892332 6912340 0.1357
6 7197268 7241670 0.069
6 7246960 7336430 0.1282
6 7611306 7689548 0.2084
6 7870637 7876119 0.2017
6 7878617 7883397 0.1352
6 7885169 7888713 0.1469
6 7939521 7946235 0.124
6 8589742 8610356 0.1469
6 9279541 9284697 0.1219
6 9526215 9543887 0.1874
6 9801170 9806633 0.1353
6 9862404 9866201 0.1153
6 10053208 10156710 0.0952
6 10053208 10156710 0.2924
6 10410300 10415800 0.139
6 10538527 10559377 0.1458
6 10882412 10887130 0.192
6 11660215 11671041 0.1227
6 11880472 11883962 0.2693
6 11910628 11918855 0.2009
6 12246869 12261484 0.0891
6 12459328 12462277 0.1959
6 12537633 12538976 0.1253
6 13046769 13058774 0.2172
6 13072726 13085012 0.185
6 13101787 13105046 0.2693
6 13221791 13226902 0.4432
6 13374118 13380352 0.2963
6 13382903 13423645 0.1366
6 13726559 13729505 0.2665
6 14206945 14208461 99
6 14289079 14293110 2.9229
6 14576350 14579081 0.2957
6 14974759 14976817 0.2348
6 15393128 15395144 0.1439
6 15521491 15543739 0.1951
6 15646558 15650220 0.1842
6 15676414 15682739 0.1521
6 15716541 15719357 0.5056
6 16426626 16428862 0.3337
6 16590500 16621155 0.0456
6 16851410 16855413 0.1654
6 16856594 16862328 0.2138
6 16884436 17025590 0.1429
6 17034175 17043164 0.1512
6 17045314 17071390 0.1315
6 17075680 17076923 0.3114
7 527975 532446 0.2226
7 533690 538270 0.4288
7 533690 538270 0.3303
7 533690 538270 0.2035
7 697432 702151 0.4937
7 727279 738131 0.2181
7 743933 744780 0.5265
7 1064732 1078246 0.0739
7 1441478 1444706 0.1938
7 1481900 1484089 0.1608
7 1522987 1538754 0.7361
7 1755256 1766248 0.3658
7 2242556 2251311 0.2686
7 2255056 2257655 1.623
7 2280760 2299174 0.5527
7 2420217 2422107 0.2441
7 2422683 2438993 0.2993
7 2467974 2472162 0.2902
7 2558507 2561095 0.0802
7 2913582 2915531 0.2201
7 2919952 2922970 0.2457
7 3076904 3080943 0.1421
7 3160049 3162174 0.2946
7 3222487 3232052 0.1886
7 3993749 4000926 0.2465
7 4096748 4103575 0.1804
7 4193229 4195298 0.2883
7 4349526 4352347 0.0454
7 4922502 4924058 0.3404
7 5878944 5936345 0.0811
7 5878944 5936345 0.243
7 6100518 6112064 0.1685
7 6623513 6654186 0.1705
7 6663776 6665467 0.1528
7 6666220 6667306 0.2627
7 6668657 6676279 0.1966
7 6892710 6895859 0.2014
7 6949922 6960905 0.1599
7 7126457 7155993 0.2387
7 7239835 7431018 0.1752
7 7463600 7468791 0.0941
7 7491253 7493482 0.3623
7 7496418 7498823 0.2492
7 7786266 7809439 0.117
7 7831193 7837026 0.2272
7 8116198 8127941 0.3027
7 8493116 8525881 0.3196
7 8975875 8977495 0.1391
7 9408874 9410882 1.334
7 10172053 10177087 0.1866
7 10172053 10177087 0.2623
7 10180846 10198706 0.1329
7 10341551 10347519 0.1354
7 11107960 11117215 0.3113
7 11130068 11134155 0.2858
7 12647467 12650755 0.1644
7 13068148 13075642 0.2663
7 13275786 13290208 0.1576
7 13452421 13459982 0.1412
7 14103105 14106046 0.1596
7 14183650 14212680 0.2166
7 14225069 14226886 0.0882
7 14793405 14819213 0.1274
7 14865123 14870596 0.072
7 14996045 15000947 0.1198
7 15050814 15055095 0.172
7 15140992 15195847 0.0829
7 15454238 15462511 0.1174
7 15839921 15844216 0.1898
7 15839921 15844216 0.2407
7 16342242 16366782 0.1129
7 16804232 16815940 1.9123
7 16896044 16899867 0.4883
7 16896044 16899867 0.2164
7 17237759 17250964 0.0876
7 17536427 17538070 0.1968
7 17536427 17538070 0.1061
7 17555779 17574579 0.062
7 17672904 17677820 0.2038
7 17672904 17677820 0.1762
7 17672904 17677820 0.2406
7 17823824 17827313 0.0493
7 17823824 17827313 0.1695
7 17868985 17874965 0.0938
7 17880340 17881233 0.2097
7 17911856 17932197 0.1032
7 17946329 17953886 0.0834
7 18693247 18697244 0.2856
7 18962839 18965340 0.1637
7 19014182 19021265 0.2762
7 19058006 19064550 0.2215
7 19070731 19075868 0.1602
7 19164790 19169107 0.1677
7 19376347 19380259 0.16
7 19379916 19392471 0.1503
7 19808277 19812190 0.0549
7 19841149 19845845 0.3483
7 19862568 19864174 0.2996
7 19999571 20005838 0.2883
7 20054776 20129917 0.1206
7 20248462 20250782 0.2396
7 20967953 20976871 0.088
7 21312694 21317635 0.1397
7 21434983 21444290 0.1318
7 21446434 21456144 0.1304
7 21503236 21509438 0.1192
7 21503236 21509438 0.1896
7 21522295 21524784 0.1829
7 21531881 21533563 0.1063
7 21553234 21555368 0.0262
7 21643034 21651293 0.157
7 21643034 21651293 0.1844
7 21727117 21733264 0.1357
7 21762041 21835045 0.1598
7 21876769 21881377 0.4193
7 22000566 22009910 0.0672
7 22028152 22042272 0.1367
7 22228171 22230503 0.1935
7 22252070 22257290 0.22
7 22252070 22257290 0.201
7 22391171 22393530 0.087
7 22391171 22393530 0.047
7 22406697 22410320 0.2033
7 22638729 22659422 0.2045
7 22791029 22813599 0.1054
7 22978590 22995217 0.1197
7 23139706 23143482 0.2039
7 23962472 23988220 0.1702
7 24888611 24890784 0.2311
7 24888611 24890784 0.1283
7 24894073 24901097 0.407
7 25210120 25215362 3.3276
7 25236144 25242747 0.2185
7 25247236 25249898 0.1564
7 25558710 25575742 0.1032
7 26218780 26226964 0.1645
7 26257019 26258074 0.2021
7 26779300 26784677 0.163
7 26931349 26939215 0.3674
7 27201860 27205236 0.3757
7 27211276 27233809 0.1388
7 27596111 27599396 0.1523
7 27758209 27772965 0.2737
7 27758209 27772965 0.1032
7 27777788 27779610 0.1
7 27777788 27779610 0.0677
7 27905756 27917076 0.0986
8 1243896 1252978 0.138
8 1637004 1643277 0.1402
8 1947119 1949130 0.1441
8 2132916 2145512 0.1792
8 2340978 2344885 0.2511
8 2356295 2370131 0.2895
8 2751137 2756456 0.0879
8 3125646 3129121 0.1215
8 3130255 3133238 0.3617
8 3139462 3144558 0.0608
8 3184387 3193250 0.2997
8 3253480 3280790 0.6144
8 4566579 4571023 0.2369
8 5057122 5059646 0.1281
8 5061230 5065590 0.2127
8 5068181 5071857 0.141
8 5660047 5661351 0.5815
8 5803165 5824796 0.2419
8 6002241 6009459 0.2138
8 6356136 6360741 0.2376
8 6364215 6377038 0.0506
8 6565695 6568855 0.5306
8 6647309 6655988 0.1695
8 6657318 6661730 0.2132
8 6672511 6675919 0.1307
8 7136717 7182201 0.1788
8 7564669 7567730 0.2211
8 7741733 7748325 0.3086
8 7971478 7992100 0.2402
8 8001904 8007260 0.3665
8 8001904 8007260 0.1596
8 8424316 8425927 0.2433
8 8495959 8497654 0.1454
8 8498118 8499312 0.339
8 8499419 8502408 0.2496
8 8519939 8540860 0.3298
8 8680085 8688792 0.1827
8 9278187 9279904 0.1837
8 9507309 9514916 0.1273
8 10503534 10559194 0.1464
8 10775000 10780521 3.555
8 11368224 11373962 0.0606
8 11376567 11401655 0.0923
8 11460028 11488636 0.2069
8 11764463 11771444 0.1978
8 11792519 11801115 0.1641
8 12030003 12039117 0.1847
8 12452845 12462417 0.0859
8 12452845 12462417 0.1123
8 12491787 12515319 0.0407
8 12491787 12515319 0.0825
8 12491787 12515319 0.273
8 12491787 12515319 0.1726
8 12491787 12515319 0.302
8 12491787 12515319 0.083
8 12519822 12529347 0.1295
8 12519822 12529347 0.0741
8 12622780 12626032 0.2675
8 12626138 12633450 0.2194
8 12743498 12756721 0.0738
8 13126242 13251999 3.2757
8 13255573 13285202 0.2099
8 13397200 13402356 0.0868
8 13614287 13635116 0.262
8 14292465 14293697 0.2392
8 14348056 14365334 0.0699
8 14421114 14427943 0.1978
8 14441325 14443294 0.2057
8 14441325 14443294 0.5215
8 15017936 15018938 0.3731
8 15043273 15065072 0.1965
8 15070643 15090855 0.1484
8 15158424 15165942 0.1655
8 15158424 15165942 0.1867
8 15177443 15184869 0.0986
8 15233621 15236085 2.4371
8 15473521 15477139 2.4373
8 15990175 15995021 0.0903
8 16264982 16271033 0.1257
8 16626388 16635545 0.372
8 16685251 16688857 0.2214
8 16884700 16891515 0.2707
8 17206369 17210137 0.1759
8 17242910 17245367 0.3114
8 17282457 17286915 0.1073
8 17404861 17409667 0.1666
8 17438399 17443824 0.178
8 17443903 17450759 0.2266
8 17468885 17472470 0.1771
8 18047641 18053061 0.1254
8 18184425 18197819 0.6451
8 18433623 18438048 0.3889
8 18757229 18761036 0.288
8 19058633 19063046 0.1356
8 19098864 19105602 0.2312
8 19106719 19119924 0.1175
8 19106719 19119924 0.2433
8 19322257 19332604 NA
9 536211 537286 0.0666
9 593740 621162 0.2289
9 1362937 1373972 0.9173
9 1362937 1373972 0.2004
9 1416677 1419531 0.2086
9 1637586 1643693 0.1512
9 1712684 1715560 0.2031
9 1712684 1715560 0
9 1722509 1726582 0.2525
9 1738820 1741663 0.1139
9 1744946 1762062 0.24
9 3021294 3027525 0.2837
9 3150768 3161520 0.4367
9 3210036 3214271 0.0875
9 4423617 4442232 0.2893
9 4594592 4597964 0.2033
9 4632810 4635251 0.4156
9 4801025 4805201 0.1732
9 4852741 4874111 0.1722
9 4852741 4874111 0.1348
9 4859254 4872299 0.0684
9 4874660 4879492 0.1255
9 5136947 5143052 0.1571
9 5329208 5351732 0.5156
9 5364846 5375967 0.4026
9 5484650 5487425 0.5309
9 5558990 5568796 0.4478
9 5558990 5568796 0.39
9 5649105 5707283 0.2303
9 5968076 5979255 0.1877
9 5980256 5984968 3.1018
9 6047087 6054036 0.2748
9 6335797 6338984 0.1937
9 7484185 7497775 0.1337
9 7510635 7512234 0.1531
9 7548693 7573278 0.1986
9 8015408 8022401 0.1699
9 8032620 8045483 0.1728
9 8748508 8759696 0.091
9 8779606 8783209 0.1024
9 8795876 8802274 0.0678
9 8921190 8924491 2.7287
