"lg" "pos1" "pos2" "ensembl_gene_id"
16 2519119 2556477 "ENSGACG00000001830"
10 9544 13471 "ENSGACG00000001834"
21 1887426 1894755 "ENSGACG00000001836"
10 16269 20746 "ENSGACG00000001837"
10 24836 26361 "ENSGACG00000001843"
10 28778 35640 "ENSGACG00000001844"
16 2557936 2561216 "ENSGACG00000001846"
21 1897371 1905682 "ENSGACG00000001848"
21 1906742 1909521 "ENSGACG00000001852"
21 1910091 1912974 "ENSGACG00000001854"
10 37874 40559 "ENSGACG00000001856"
21 1913768 1917133 "ENSGACG00000001858"
10 44121 48250 "ENSGACG00000001860"
21 1920400 1934021 "ENSGACG00000001862"
10 49650 55466 "ENSGACG00000001865"
21 1957966 1963161 "ENSGACG00000001871"
16 2563366 2565781 "ENSGACG00000001873"
16 2568438 2588769 "ENSGACG00000001878"
10 59283 66786 "ENSGACG00000001879"
21 1966997 1972984 "ENSGACG00000001881"
10 73294 77404 "ENSGACG00000001882"
16 2628609 2645144 "ENSGACG00000001883"
21 1975033 1981586 "ENSGACG00000001884"
16 2651402 2652951 "ENSGACG00000001885"
16 2686951 2764612 "ENSGACG00000001886"
16 2776645 2777646 "ENSGACG00000001892"
16 2783893 2785408 "ENSGACG00000001893"
16 2792172 2793433 "ENSGACG00000001895"
16 2842108 2853705 "ENSGACG00000001896"
16 2867278 2869821 "ENSGACG00000001900"
16 2874846 2878155 "ENSGACG00000001901"
10 109933 113655 "ENSGACG00000001902"
16 2983131 2992261 "ENSGACG00000001904"
10 236052 237461 "ENSGACG00000001907"
10 256225 278842 "ENSGACG00000001909"
10 425779 432004 "ENSGACG00000001910"
10 482615 492778 "ENSGACG00000001913"
21 1985688 1988144 "ENSGACG00000001917"
10 520053 527028 "ENSGACG00000001919"
10 572041 573204 "ENSGACG00000001921"
10 574901 576510 "ENSGACG00000001922"
10 577887 579878 "ENSGACG00000001923"
21 1995714 2043548 "ENSGACG00000001925"
16 3010368 3061648 "ENSGACG00000001926"
10 581241 583157 "ENSGACG00000001928"
21 2051672 2059338 "ENSGACG00000001930"
10 662965 665020 "ENSGACG00000001932"
10 779138 791924 "ENSGACG00000001935"
10 802046 806249 "ENSGACG00000001937"
21 2060331 2061963 "ENSGACG00000001940"
10 891779 894040 "ENSGACG00000001941"
16 3068290 3098481 "ENSGACG00000001943"
10 919579 921019 "ENSGACG00000001944"
10 932540 936469 "ENSGACG00000001947"
16 3102058 3127057 "ENSGACG00000001948"
21 2063297 2068851 "ENSGACG00000001949"
16 3191757 3199036 "ENSGACG00000001955"
21 2069582 2072605 "ENSGACG00000001956"
21 2074295 2077009 "ENSGACG00000001958"
10 945775 970597 "ENSGACG00000001959"
21 2077391 2080221 "ENSGACG00000001961"
21 2079984 2084918 "ENSGACG00000001966"
10 1027221 1035519 "ENSGACG00000001968"
21 2085493 2090253 "ENSGACG00000001969"
10 1054392 1055656 "ENSGACG00000001971"
16 3202295 3204354 "ENSGACG00000001972"
10 1057580 1102657 "ENSGACG00000001973"
21 2122593 2149047 "ENSGACG00000001974"
16 3207621 3211795 "ENSGACG00000001975"
10 1092709 1093873 "ENSGACG00000001976"
10 1119796 1124476 "ENSGACG00000001978"
10 1148457 1148636 "ENSGACG00000001979"
10 1182383 1191766 "ENSGACG00000001981"
10 1224615 1227279 "ENSGACG00000001984"
16 3212609 3219546 "ENSGACG00000001985"
10 1233473 1241626 "ENSGACG00000001987"
10 1252132 1253742 "ENSGACG00000001990"
10 1255409 1260610 "ENSGACG00000001991"
10 1265354 1365800 "ENSGACG00000001993"
21 2152810 2178889 "ENSGACG00000001997"
16 3301653 3308807 "ENSGACG00000001998"
16 3385853 3400651 "ENSGACG00000001999"
21 2180740 2208802 "ENSGACG00000002000"
10 1423015 1424673 "ENSGACG00000002002"
10 1428393 1440080 "ENSGACG00000002003"
16 3402359 3407495 "ENSGACG00000002007"
16 3409930 3412662 "ENSGACG00000002009"
10 1450596 1457347 "ENSGACG00000002010"
16 3416058 3419330 "ENSGACG00000002011"
21 2210030 2214589 "ENSGACG00000002012"
16 3422401 3434905 "ENSGACG00000002015"
19 10986 16113 "ENSGACG00000002019"
19 88390 92771 "ENSGACG00000002020"
21 2251615 2257044 "ENSGACG00000002024"
16 3442744 3469345 "ENSGACG00000002025"
10 1462736 1476573 "ENSGACG00000002029"
21 2284663 2348953 "ENSGACG00000002031"
19 128129 162113 "ENSGACG00000002032"
19 216649 319812 "ENSGACG00000002033"
10 1487400 1504988 "ENSGACG00000002034"
16 3472330 3475445 "ENSGACG00000002035"
19 387398 390452 "ENSGACG00000002043"
19 395240 396873 "ENSGACG00000002046"
21 2362051 2371923 "ENSGACG00000002048"
10 1507431 1517467 "ENSGACG00000002050"
16 3495816 3510598 "ENSGACG00000002051"
19 397668 398477 "ENSGACG00000002052"
19 400633 400944 "ENSGACG00000002055"
21 2493486 2494517 "ENSGACG00000002056"
21 2494769 2495418 "ENSGACG00000002057"
16 3513049 3529958 "ENSGACG00000002059"
21 2604075 2667581 "ENSGACG00000002060"
19 402006 402416 "ENSGACG00000002061"
16 3540086 3541895 "ENSGACG00000002064"
16 3555605 3573841 "ENSGACG00000002065"
19 416809 418539 "ENSGACG00000002066"
19 423805 424332 "ENSGACG00000002067"
19 428034 429135 "ENSGACG00000002068"
21 2673132 2678178 "ENSGACG00000002069"
19 436263 437049 "ENSGACG00000002070"
16 3581574 3589282 "ENSGACG00000002071"
21 2679483 2686506 "ENSGACG00000002073"
10 1517690 1520555 "ENSGACG00000002074"
16 3611498 3631144 "ENSGACG00000002075"
19 438468 439483 "ENSGACG00000002076"
19 442073 442486 "ENSGACG00000002078"
16 3636587 3642377 "ENSGACG00000002079"
19 443198 443509 "ENSGACG00000002081"
19 454805 455513 "ENSGACG00000002082"
19 456988 457760 "ENSGACG00000002083"
10 1523861 1533192 "ENSGACG00000002085"
19 464333 465434 "ENSGACG00000002086"
10 1534875 1544868 "ENSGACG00000002089"
19 469174 469695 "ENSGACG00000002090"
16 3643996 3656403 "ENSGACG00000002091"
19 482772 483185 "ENSGACG00000002092"
19 484800 485111 "ENSGACG00000002093"
21 2690524 2693842 "ENSGACG00000002094"
21 2700266 2702381 "ENSGACG00000002095"
19 488614 488985 "ENSGACG00000002096"
5 28798 58509 "ENSGACG00000002097"
5 91186 120332 "ENSGACG00000002098"
19 490540 495336 "ENSGACG00000002100"
21 2702979 2706427 "ENSGACG00000002101"
19 509960 514801 "ENSGACG00000002102"
5 120615 125489 "ENSGACG00000002103"
19 535198 540241 "ENSGACG00000002104"
21 2707115 2708085 "ENSGACG00000002105"
21 2708969 2714554 "ENSGACG00000002106"
16 3658000 3661835 "ENSGACG00000002107"
19 541286 543789 "ENSGACG00000002108"
19 545499 547363 "ENSGACG00000002109"
16 3674592 3692242 "ENSGACG00000002110"
16 3706467 3708182 "ENSGACG00000002111"
19 558305 559672 "ENSGACG00000002112"
16 3711877 3718064 "ENSGACG00000002113"
19 569767 573704 "ENSGACG00000002114"
5 126449 131671 "ENSGACG00000002115"
21 2727862 2736985 "ENSGACG00000002116"
10 1545033 1548796 "ENSGACG00000002118"
19 574395 575268 "ENSGACG00000002119"
19 575335 580780 "ENSGACG00000002120"
16 3722485 3726877 "ENSGACG00000002122"
5 132777 135898 "ENSGACG00000002123"
16 3766904 3780354 "ENSGACG00000002124"
5 144320 146415 "ENSGACG00000002125"
16 3895612 3897421 "ENSGACG00000002127"
21 2737163 2755917 "ENSGACG00000002128"
5 147503 149242 "ENSGACG00000002129"
16 3899938 3913583 "ENSGACG00000002130"
19 584241 596539 "ENSGACG00000002134"
21 2836987 2881355 "ENSGACG00000002135"
19 611650 615167 "ENSGACG00000002139"
5 155582 158943 "ENSGACG00000002140"
16 3915284 3918221 "ENSGACG00000002141"
5 163238 181064 "ENSGACG00000002142"
10 1557471 1561810 "ENSGACG00000002143"
16 3924004 3931487 "ENSGACG00000002144"
21 2929787 2939966 "ENSGACG00000002145"
19 626795 629549 "ENSGACG00000002147"
16 3944411 3954110 "ENSGACG00000002149"
19 638909 641055 "ENSGACG00000002151"
16 3996932 3997747 "ENSGACG00000002152"
16 4027610 4044964 "ENSGACG00000002153"
19 642422 645940 "ENSGACG00000002154"
21 2957339 2977045 "ENSGACG00000002155"
21 3021384 3022927 "ENSGACG00000002156"
21 3024475 3026182 "ENSGACG00000002157"
21 3028170 3035741 "ENSGACG00000002158"
5 185952 269817 "ENSGACG00000002159"
16 4058548 4065743 "ENSGACG00000002161"
6 10914 27469 "ENSGACG00000002162"
21 3041602 3042225 "ENSGACG00000002163"
21 3043656 3046148 "ENSGACG00000002164"
21 3047550 3048713 "ENSGACG00000002166"
21 3047595 3058170 "ENSGACG00000002167"
16 4069909 4101195 "ENSGACG00000002168"
6 35448 70245 "ENSGACG00000002170"
16 4108199 4112993 "ENSGACG00000002172"
5 275506 294583 "ENSGACG00000002173"
6 69945 83274 "ENSGACG00000002174"
10 1562124 1567375 "ENSGACG00000002175"
6 85476 88028 "ENSGACG00000002176"
19 648420 650716 "ENSGACG00000002177"
21 3061406 3062985 "ENSGACG00000002178"
21 3071477 3073366 "ENSGACG00000002180"
6 96096 107005 "ENSGACG00000002181"
10 1567653 1571004 "ENSGACG00000002182"
21 3074470 3082081 "ENSGACG00000002183"
19 652421 677591 "ENSGACG00000002184"
16 4113946 4121034 "ENSGACG00000002186"
5 294705 296540 "ENSGACG00000002187"
16 4122734 4124448 "ENSGACG00000002188"
6 111203 117117 "ENSGACG00000002189"
21 3084563 3085911 "ENSGACG00000002190"
16 4133398 4169500 "ENSGACG00000002191"
21 3086141 3090398 "ENSGACG00000002192"
5 298074 298954 "ENSGACG00000002193"
19 681952 684276 "ENSGACG00000002194"
5 306927 307698 "ENSGACG00000002195"
16 4182370 4206299 "ENSGACG00000002196"
5 308048 312147 "ENSGACG00000002197"
21 3093922 3100842 "ENSGACG00000002198"
16 4216514 4218833 "ENSGACG00000002200"
6 122463 194645 "ENSGACG00000002201"
16 4224687 4226260 "ENSGACG00000002202"
16 4234863 4236981 "ENSGACG00000002206"
16 4249200 4250141 "ENSGACG00000002209"
16 4252438 4253460 "ENSGACG00000002211"
16 4285591 4286514 "ENSGACG00000002212"
5 314453 318479 "ENSGACG00000002213"
16 4293607 4294530 "ENSGACG00000002214"
16 4301585 4303257 "ENSGACG00000002215"
16 4428375 4457157 "ENSGACG00000002216"
19 684580 687326 "ENSGACG00000002219"
16 4469876 4483668 "ENSGACG00000002220"
19 688355 691230 "ENSGACG00000002221"
16 4487126 4491407 "ENSGACG00000002222"
10 1567746 1568282 "ENSGACG00000002223"
10 1576872 1585501 "ENSGACG00000002224"
16 4513912 4514785 "ENSGACG00000002226"
16 4525288 4525785 "ENSGACG00000002227"
16 4539132 4580773 "ENSGACG00000002228"
19 691253 697264 "ENSGACG00000002229"
10 1587943 1589442 "ENSGACG00000002230"
10 1591984 1595794 "ENSGACG00000002231"
16 4650140 4660569 "ENSGACG00000002232"
5 318580 322807 "ENSGACG00000002233"
10 1596496 1597523 "ENSGACG00000002234"
21 3109192 3205745 "ENSGACG00000002235"
16 4679752 4681582 "ENSGACG00000002238"
21 3448710 3449346 "ENSGACG00000002239"
16 4703392 4713584 "ENSGACG00000002240"
21 3449542 3450444 "ENSGACG00000002241"
5 342428 344586 "ENSGACG00000002242"
21 3762380 3766951 "ENSGACG00000002244"
6 201524 221743 "ENSGACG00000002246"
10 1598669 1606704 "ENSGACG00000002247"
5 434056 491197 "ENSGACG00000002248"
19 698806 705609 "ENSGACG00000002250"
16 4733214 4733729 "ENSGACG00000002251"
16 4753832 4754968 "ENSGACG00000002252"
10 1612368 1619817 "ENSGACG00000002253"
16 4759464 4761705 "ENSGACG00000002254"
16 4784787 4787328 "ENSGACG00000002255"
19 707287 709986 "ENSGACG00000002256"
10 1621015 1627042 "ENSGACG00000002257"
19 710379 717845 "ENSGACG00000002258"
16 4814442 4815533 "ENSGACG00000002259"
16 4855585 4856795 "ENSGACG00000002261"
5 493430 516397 "ENSGACG00000002262"
16 4894118 4896102 "ENSGACG00000002264"
19 721379 742648 "ENSGACG00000002265"
16 4908425 4920547 "ENSGACG00000002266"
6 255380 298465 "ENSGACG00000002267"
21 3768790 3773319 "ENSGACG00000002268"
16 4963171 4986495 "ENSGACG00000002269"
10 1627559 1629451 "ENSGACG00000002270"
10 1630446 1636558 "ENSGACG00000002271"
5 520516 524527 "ENSGACG00000002272"
21 3775351 3776625 "ENSGACG00000002275"
21 3782069 3790368 "ENSGACG00000002276"
6 314547 336428 "ENSGACG00000002277"
19 749011 750385 "ENSGACG00000002280"
19 758037 774980 "ENSGACG00000002282"
21 3790782 3792345 "ENSGACG00000002283"
5 526751 537024 "ENSGACG00000002284"
10 1637837 1639054 "ENSGACG00000002285"
21 3802461 3815446 "ENSGACG00000002286"
16 5028196 5052297 "ENSGACG00000002287"
10 1639401 1642292 "ENSGACG00000002289"
19 785318 787027 "ENSGACG00000002291"
5 538807 541663 "ENSGACG00000002292"
10 1643094 1653607 "ENSGACG00000002293"
19 813197 842822 "ENSGACG00000002294"
6 341078 386283 "ENSGACG00000002297"
16 5056602 5072887 "ENSGACG00000002298"
5 545612 573880 "ENSGACG00000002299"
19 854056 856861 "ENSGACG00000002301"
16 5076319 5105856 "ENSGACG00000002303"
5 664122 678918 "ENSGACG00000002304"
19 897021 901352 "ENSGACG00000002305"
16 5108582 5110465 "ENSGACG00000002306"
21 3831486 3862459 "ENSGACG00000002307"
16 5113281 5115563 "ENSGACG00000002308"
21 3864931 3870038 "ENSGACG00000002309"
16 5120895 5134417 "ENSGACG00000002310"
10 1654563 1656287 "ENSGACG00000002312"
6 431939 438404 "ENSGACG00000002313"
16 5142264 5223303 "ENSGACG00000002314"
10 1659822 1663955 "ENSGACG00000002315"
6 442446 447663 "ENSGACG00000002316"
5 680928 686663 "ENSGACG00000002317"
10 1685091 1686799 "ENSGACG00000002318"
10 1696901 1706009 "ENSGACG00000002319"
16 5489703 5500160 "ENSGACG00000002320"
21 3882173 3884823 "ENSGACG00000002321"
5 699847 702513 "ENSGACG00000002322"
5 705049 730584 "ENSGACG00000002323"
21 3900261 3905214 "ENSGACG00000002324"
6 449006 474852 "ENSGACG00000002325"
21 3947748 3952816 "ENSGACG00000002326"
10 1709141 1712672 "ENSGACG00000002327"
16 5502519 5557728 "ENSGACG00000002328"
10 1714880 1715248 "ENSGACG00000002329"
5 737022 764477 "ENSGACG00000002330"
10 1716419 1721089 "ENSGACG00000002331"
5 774357 777445 "ENSGACG00000002333"
21 4261159 4273924 "ENSGACG00000002334"
10 1723460 1725072 "ENSGACG00000002336"
6 471702 471944 "ENSGACG00000002337"
21 4277438 4278361 "ENSGACG00000002339"
5 779947 781364 "ENSGACG00000002340"
10 1730996 1735402 "ENSGACG00000002341"
6 485827 497474 "ENSGACG00000002342"
5 782744 786166 "ENSGACG00000002343"
10 1751605 1763088 "ENSGACG00000002344"
16 5560990 5563128 "ENSGACG00000002346"
21 4278332 4288965 "ENSGACG00000002347"
16 5563182 5567635 "ENSGACG00000002348"
10 1806680 1814007 "ENSGACG00000002349"
16 5567948 5570483 "ENSGACG00000002350"
10 1861240 1873613 "ENSGACG00000002352"
16 5571474 5582058 "ENSGACG00000002353"
10 1920938 1921900 "ENSGACG00000002355"
19 901300 905622 "ENSGACG00000002356"
10 1935507 1963916 "ENSGACG00000002357"
6 498779 507522 "ENSGACG00000002358"
21 4290174 4294183 "ENSGACG00000002359"
19 906678 909582 "ENSGACG00000002360"
10 1995486 1996462 "ENSGACG00000002361"
21 4314154 4328506 "ENSGACG00000002362"
19 910428 924949 "ENSGACG00000002363"
10 2003674 2007108 "ENSGACG00000002364"
5 786575 789652 "ENSGACG00000002365"
19 927508 929601 "ENSGACG00000002366"
16 5583120 5587136 "ENSGACG00000002367"
19 933199 943645 "ENSGACG00000002368"
21 4331408 4341363 "ENSGACG00000002369"
5 793362 803990 "ENSGACG00000002370"
5 826294 830512 "ENSGACG00000002371"
10 2013153 2018303 "ENSGACG00000002372"
21 4341451 4342650 "ENSGACG00000002373"
21 4343544 4350834 "ENSGACG00000002374"
5 831111 832530 "ENSGACG00000002375"
16 5588665 5590712 "ENSGACG00000002376"
19 933362 946363 "ENSGACG00000002378"
5 834469 835775 "ENSGACG00000002379"
16 5592699 5595163 "ENSGACG00000002380"
19 959942 986537 "ENSGACG00000002381"
10 2022325 2030015 "ENSGACG00000002382"
10 2030532 2033177 "ENSGACG00000002383"
16 5613907 5615139 "ENSGACG00000002384"
21 4357626 4363242 "ENSGACG00000002385"
5 837851 840640 "ENSGACG00000002386"
16 5658213 5664937 "ENSGACG00000002387"
21 4365366 4372129 "ENSGACG00000002388"
10 2034216 2038495 "ENSGACG00000002389"
21 4512532 4571118 "ENSGACG00000002390"
10 2040261 2045837 "ENSGACG00000002391"
16 5678560 5705126 "ENSGACG00000002393"
21 4578617 4586998 "ENSGACG00000002394"
21 4591348 4602711 "ENSGACG00000002395"
6 513497 542415 "ENSGACG00000002396"
5 842100 847047 "ENSGACG00000002397"
19 1002682 1016637 "ENSGACG00000002398"
21 4613446 4616448 "ENSGACG00000002399"
21 4631621 4671302 "ENSGACG00000002400"
16 5748920 5803548 "ENSGACG00000002401"
21 4633729 4636042 "ENSGACG00000002402"
21 4653127 4655956 "ENSGACG00000002404"
21 4657260 4659904 "ENSGACG00000002405"
21 4677000 4686452 "ENSGACG00000002406"
6 576927 580340 "ENSGACG00000002407"
6 581331 585252 "ENSGACG00000002408"
16 5805247 5824442 "ENSGACG00000002409"
19 1019031 1027090 "ENSGACG00000002410"
21 4687222 4696475 "ENSGACG00000002411"
6 591534 600886 "ENSGACG00000002412"
10 2048132 2052324 "ENSGACG00000002413"
5 850244 859633 "ENSGACG00000002414"
21 4702544 4704622 "ENSGACG00000002415"
21 4711108 4712507 "ENSGACG00000002416"
10 2059295 2063825 "ENSGACG00000002417"
21 4917563 4971561 "ENSGACG00000002418"
19 1041432 1050995 "ENSGACG00000002419"
5 860773 863243 "ENSGACG00000002420"
21 4988901 4989839 "ENSGACG00000002421"
21 5116106 5122491 "ENSGACG00000002422"
6 601214 602689 "ENSGACG00000002423"
6 610346 621924 "ENSGACG00000002424"
21 5124542 5127345 "ENSGACG00000002425"
21 5128905 5139108 "ENSGACG00000002426"
5 863639 864496 "ENSGACG00000002427"
5 865217 867657 "ENSGACG00000002428"
10 2064301 2065446 "ENSGACG00000002429"
19 1108322 1152408 "ENSGACG00000002430"
10 2067660 2068599 "ENSGACG00000002431"
5 900956 925527 "ENSGACG00000002432"
10 2070461 2073621 "ENSGACG00000002433"
19 1165751 1166664 "ENSGACG00000002434"
21 5140167 5165738 "ENSGACG00000002435"
19 1175420 1175860 "ENSGACG00000002436"
19 1176437 1192087 "ENSGACG00000002437"
5 1008166 1010628 "ENSGACG00000002438"
6 624617 631220 "ENSGACG00000002439"
5 1014380 1018046 "ENSGACG00000002440"
10 2074772 2080731 "ENSGACG00000002442"
21 5176351 5179669 "ENSGACG00000002443"
21 5182082 5185794 "ENSGACG00000002444"
19 1196030 1206038 "ENSGACG00000002445"
10 2085482 2100701 "ENSGACG00000002446"
6 666448 669910 "ENSGACG00000002447"
21 5186922 5193840 "ENSGACG00000002448"
10 2101278 2103856 "ENSGACG00000002451"
19 1219458 1253424 "ENSGACG00000002452"
6 670434 675391 "ENSGACG00000002453"
10 2107359 2116687 "ENSGACG00000002455"
19 1259013 1261731 "ENSGACG00000002456"
19 1262591 1267022 "ENSGACG00000002457"
6 687960 697822 "ENSGACG00000002458"
21 5195179 5243575 "ENSGACG00000002460"
21 5283848 5560806 "ENSGACG00000002461"
5 1020305 1029276 "ENSGACG00000002462"
5 1032071 1033963 "ENSGACG00000002463"
5 1036289 1039034 "ENSGACG00000002464"
5 1041884 1044770 "ENSGACG00000002465"
21 5378929 5380854 "ENSGACG00000002466"
10 2121801 2122745 "ENSGACG00000002467"
19 1268356 1272687 "ENSGACG00000002468"
21 5440575 5443026 "ENSGACG00000002469"
6 711866 729652 "ENSGACG00000002470"
10 2125535 2126404 "ENSGACG00000002471"
21 5516657 5518336 "ENSGACG00000002473"
10 2127005 2130720 "ENSGACG00000002474"
21 5563933 5565402 "ENSGACG00000002475"
19 1279484 1290650 "ENSGACG00000002476"
21 5566443 5569736 "ENSGACG00000002477"
21 5570723 5573618 "ENSGACG00000002478"
6 734075 746734 "ENSGACG00000002479"
5 1049043 1050542 "ENSGACG00000002480"
10 2133538 2138778 "ENSGACG00000002481"
5 1052048 1059304 "ENSGACG00000002482"
6 773652 789739 "ENSGACG00000002483"
10 2144380 2148680 "ENSGACG00000002484"
21 5574282 5581150 "ENSGACG00000002485"
5 1071875 1086338 "ENSGACG00000002486"
19 1295054 1296906 "ENSGACG00000002487"
10 2149890 2153084 "ENSGACG00000002488"
6 792678 797452 "ENSGACG00000002489"
19 1325078 1333128 "ENSGACG00000002490"
21 5583448 5603633 "ENSGACG00000002491"
5 1088832 1093988 "ENSGACG00000002492"
21 5609584 5615358 "ENSGACG00000002493"
21 5618122 5622349 "ENSGACG00000002494"
19 1353172 1357814 "ENSGACG00000002495"
19 1409188 1425989 "ENSGACG00000002497"
21 5627431 5630858 "ENSGACG00000002498"
5 1094203 1094963 "ENSGACG00000002499"
5 1097599 1100111 "ENSGACG00000002500"
16 5863099 5885871 "ENSGACG00000002501"
5 1100066 1104200 "ENSGACG00000002502"
10 2152948 2157570 "ENSGACG00000002503"
19 1433175 1439803 "ENSGACG00000002504"
21 5653839 5689259 "ENSGACG00000002505"
16 5906187 5912186 "ENSGACG00000002506"
6 807793 824115 "ENSGACG00000002507"
16 5921243 5930904 "ENSGACG00000002508"
19 1443746 1457433 "ENSGACG00000002509"
21 5698558 5699757 "ENSGACG00000002510"
16 6102130 6138401 "ENSGACG00000002511"
21 5734019 5738065 "ENSGACG00000002512"
19 1465906 1471253 "ENSGACG00000002513"
16 6227325 6237454 "ENSGACG00000002514"
19 1479298 1489794 "ENSGACG00000002515"
10 2157855 2162652 "ENSGACG00000002516"
6 827754 834333 "ENSGACG00000002518"
21 5738223 5745177 "ENSGACG00000002519"
19 1492048 1509256 "ENSGACG00000002520"
5 1106532 1107615 "ENSGACG00000002521"
5 1110430 1113647 "ENSGACG00000002522"
10 2163813 2169060 "ENSGACG00000002525"
10 2176422 2178269 "ENSGACG00000002526"
19 1515853 1528302 "ENSGACG00000002527"
19 1546573 1547377 "ENSGACG00000002528"
19 1547513 1555102 "ENSGACG00000002529"
6 835006 842062 "ENSGACG00000002530"
21 5747557 5751896 "ENSGACG00000002531"
5 1145571 1149534 "ENSGACG00000002532"
10 2215163 2223633 "ENSGACG00000002533"
16 6238630 6245146 "ENSGACG00000002534"
5 1155683 1173853 "ENSGACG00000002535"
21 5768154 5778431 "ENSGACG00000002536"
19 1556266 1557546 "ENSGACG00000002537"
19 1580267 1593273 "ENSGACG00000002538"
10 2225091 2256547 "ENSGACG00000002539"
16 6246274 6254373 "ENSGACG00000002540"
19 1597956 1610849 "ENSGACG00000002541"
5 1182211 1207003 "ENSGACG00000002542"
16 6258543 6263610 "ENSGACG00000002543"
21 5790345 5795969 "ENSGACG00000002544"
10 2269766 2289402 "ENSGACG00000002545"
5 1235261 1240713 "ENSGACG00000002546"
6 847913 850802 "ENSGACG00000002547"
