"lg" "pos1" "pos2" "ka"
2 8646351 8649168 0.0061
2 8646351 8649168 0
2 8651143 8652237 0.0516
2 8790724 8810598 0.0246
2 9043062 9051779 0.077
2 9116332 9139014 0.004
2 9204468 9207737 0.0141
2 9428833 9438117 0.0953
2 9716095 9718781 0.012
2 9756926 9765985 0
2 10100660 10114418 0.0118
2 10126536 10191562 0.0702
2 10247846 10255097 0.0052
2 10556049 10563252 0.0112
2 10570981 10573911 0.0634
2 11101817 11113827 0.0023
2 11156528 11166608 0.0028
2 11195298 11205427 0.0131
2 11208619 11242295 0.0423
2 11246365 11263230 0
2 11310523 11317108 0.0498
2 11486094 11493188 0.0459
2 11613372 11616719 0.0297
2 11641947 11646959 0
2 11722154 11730039 0.0066
2 11722154 11730039 0.0123
2 11794052 11818684 0.0194
2 11953016 11953596 0.0513
2 12011446 12015686 0.0049
2 12111558 12113883 0.0317
2 12593892 12606851 0
2 12728201 12750898 0.0141
2 12798371 12804397 0.0085
2 13354960 13361429 0.0236
2 13387601 13389773 0.0359
2 13433139 13446582 0.1533
2 13583174 13588458 0.0086
2 13766137 13772502 0.0222
2 13766137 13772502 0.0397
2 13830516 13837160 0.0258
2 14958597 14964917 0.015
2 14972131 14987084 0.0138
2 15258520 15263264 0.0027
2 15508707 15527513 0.0076
2 15546599 15556143 0.0242
2 15594443 15597613 0.0345
2 15611122 15638187 0
2 16344186 16345923 0.027
2 16530824 16543473 0.0039
2 16545907 16561468 0
2 17770795 17780544 0.0046
2 18050954 18082549 0.0382
2 18319192 18327379 0
2 18508654 18511010 0.0277
2 18508654 18511010 0.0401
2 18978832 18987772 0.0113
2 19161545 19179476 0.0901
2 19161545 19179476 0.1131
2 19609208 19617388 0.0429
2 19620980 19627251 0.0042
2 19628202 19633486 0.0509
2 19628202 19633486 0.024
2 21429969 21436380 0.0173
2 21783698 21793559 0.0108
2 21884353 21888743 0.0073
2 22032095 22033496 0.0026
2 22344481 22347368 0.0233
2 22344481 22347368 0
2 22369179 22372454 0.0071
2 22645723 22648447 0.0029
2 22662092 22672812 0.0095
2 22662092 22672812 0.0148
2 22996403 23017997 0.1453
3 61645 62006 0
3 67525 69733 0
3 639394 651698 0.0748
3 659228 681226 0.0094
3 686079 690205 0
3 686079 690205 0.0043
3 703525 708437 0.1245
3 815615 833164 0.0071
3 948765 953424 0
3 1446399 1449815 0.0054
3 1491421 1496838 0.0202
3 1584858 1598818 0.0135
3 1601834 1608377 0.0416
3 1601834 1608377 0.0777
3 1651826 1658273 0.0158
3 1651826 1658273 0.0133
3 1652723 1653751 0
3 2114207 2121278 0.0593
3 2756952 2758757 0.0468
3 2930749 2933747 0.0149
3 2976579 2982013 0.0073
3 3301256 3346169 0.0436
3 3914291 3917139 0.0917
3 4404854 4405859 0
3 4581095 4703290 0.0086
3 5080003 5084046 0.0411
3 5190441 5212962 0.0333
3 5578775 5596153 0.0118
3 5578775 5596153 0.03
3 5578775 5596153 0.0222
3 5866884 5872696 0.0403
3 5925218 5932467 0.0054
3 5925218 5932467 0.005
3 6049832 6063238 0.0447
3 6154751 6172107 0.0804
3 6657844 6658807 0.222
3 7108939 7139661 0.0228
3 7108939 7139661 0.0916
3 7202744 7209376 0.0061
3 7217340 7220245 0
3 7427682 7446663 0
3 7559943 7569122 0.1096
3 8009129 8017815 0.0159
3 8009129 8017815 0.0045
3 8228521 8241639 0.186
3 8246334 8249423 0.005
3 8459524 8461028 0.0031
3 8582456 8586301 0.0024
3 8857076 8860194 0.0053
3 8973992 8977937 0
3 8999015 9003369 0.5118
3 9036495 9039868 0.0222
3 9057179 9068211 0.0415
3 9367536 9370453 0.0062
3 9378475 9381561 0.0521
3 9402021 9405305 0.1779
3 9564767 9568355 0.0243
3 9677722 9687577 0.0067
3 9794901 9798464 0.0452
3 9805884 9807571 0.0178
3 9947686 9964147 0.0021
3 10056598 10062502 0.0627
3 10062736 10068969 0.1213
3 10114734 10119038 0.0032
3 10127740 10133623 0.0628
3 10283986 10298923 0.0331
3 10346412 10355074 0.2583
3 10646496 10648670 0.0021
3 10847282 10862925 0
3 10874901 10881618 0.0422
3 10950339 10953424 0.0436
3 10972825 10998567 0
3 11139076 11147173 0.0167
3 11211369 11222868 0.0396
3 11266272 11286371 0.0052
3 11461180 11467011 0.0194
3 11475625 11485366 0.0147
3 11833742 11836530 0.0604
3 11833742 11836530 0.0192
3 12263326 12266169 0.0096
3 12367900 12400959 0.0061
3 12420194 12426654 0.0076
3 12508327 12518247 0.0044
3 12808960 12812334 NA
3 12808960 12812334 0.0124
3 12909582 12925141 0.0057
3 12964158 12979929 0.0258
3 13313541 13317526 0.006
3 13414144 13422881 0.0079
3 13414144 13422881 0.0078
3 13432276 13434350 0.0089
3 13637117 13651738 0.0318
3 13672383 13693975 0.0072
3 13733804 13735972 0.0063
3 13910747 13912276 0.0575
3 14034859 14037288 0.0025
3 14147862 14154214 0.002
3 14147862 14154214 0.0113
3 14252482 14261760 0.0372
3 15167466 15170775 0.0131
3 15871199 15879067 0.0813
3 15879522 15889696 0
3 16092058 16098924 0.0162
3 16233544 16240384 0.0091
3 16340737 16348701 0.0047
3 16465506 16473530 0.0231
3 16727415 16733487 0.0265
4 36406 48625 0.0099
4 52404 57303 0.0341
4 62360 78815 0.042
4 166206 169934 0.0291
4 204213 205371 0.0201
4 306409 310477 0.0171
4 812078 814424 0
4 983296 986835 0.0028
4 1368026 1374881 0.1196
4 1429479 1436213 0.027
4 1788271 1792398 0
4 1788271 1792398 0.0287
4 1958013 1970369 0.0069
4 2044920 2048363 0.0058
4 2274383 2291325 0
4 2804460 2817712 0.0065
4 3512927 3533277 0
4 3811447 3818351 0.0262
4 3949848 3953099 0
4 4958777 4996893 0.0209
4 5025485 5026396 0.0588
4 5239852 5249268 0.022
4 5250116 5266364 0.0217
4 5444600 5449528 0
4 5465178 5469864 0
4 5656926 5700384 0
4 5656926 5700384 0.0018
4 5726916 5729912 0.0058
4 5736260 5741815 0.0155
4 5886034 5889741 0.5001
4 5886034 5889741 0.111
4 6059699 6062416 0.0045
4 6128331 6137952 0.0024
4 6433610 6434933 0.0323
4 6436434 6440360 0.0552
4 6637778 6644883 0.0102
4 6647526 6652078 0.0164
4 6667356 6670230 0.0487
4 6701110 6703657 0
4 6704968 6707433 0.0226
4 7480346 7482175 0
4 7935974 7942706 0.0094
4 8205476 8214826 0.0192
4 8369911 8376071 0.0279
4 9060971 9066262 0.0099
4 9188139 9197982 0
4 9213999 9216851 0
4 9213999 9216851 0
4 9284842 9299649 0.0574
4 9301783 9304461 0.0048
4 9387103 9394353 0.0181
4 9462684 9463736 0.0094
4 9760072 9818687 0.0262
4 9891646 9894039 0.0101
4 10011240 10014333 0.013
4 10229454 10232135 0.0139
4 10308234 10319145 0.0229
4 10320593 10328685 0.0027
4 10687390 10690122 0.0086
4 10953105 10958318 0.074
4 11075050 11077381 0.0435
4 11092615 11102092 0.0179
4 11277608 11284180 0.0426
4 11277608 11284180 0.0686
4 11369935 11375266 0.0106
4 11472856 11477288 0.0056
4 11472856 11477288 0
4 11522338 11536820 0.0086
4 11538994 11545411 0.0027
4 11684734 11693021 0.0258
4 11736941 11737642 0.0267
4 11746564 11751010 0.0032
4 11826390 11829208 0.0211
4 11854583 11862355 0.0076
4 12313008 12315929 0
4 12424107 12436050 0
4 12660845 12838539 0.0044
4 12700707 12768384 0.0202
4 12962154 12969566 0.0094
4 13220801 13248223 0.0555
4 13258735 13265652 0.0218
4 13399655 13402595 0.0751
4 13527626 13591025 0
4 13982895 13987174 0.0033
4 14058422 14069207 0.0172
4 15043955 15047549 0
4 15052253 15058258 0.0142
4 15062301 15064804 0.0115
4 15071091 15091831 0.0049
4 15190465 15198204 0.0298
4 15526994 15532191 0.2298
4 15719840 15725466 0.0174
4 15824416 15838639 0.0326
4 15954004 15959049 0.0334
4 16071855 16095734 0.0345
4 16164001 16171694 0.0092
4 16297039 16301643 0.0094
4 16533394 16548513 0.1697
4 16772040 16776220 0.0546
4 17450715 17455584 0.1621
4 17925840 17930213 0.0031
4 18488149 18495417 0.009
4 18543783 18547349 0.5844
4 18741714 18751286 0.0029
4 18828360 18832101 0.0659
4 19314830 19379883 0
4 19502772 19504901 0.0098
4 20374567 20407295 0
4 20917221 20932399 0
4 20945694 20956175 0.0121
4 21221532 21246568 0.0284
4 21262685 21271766 0.0076
4 22027107 22030588 0.0285
4 22551103 22579176 0.0461
4 23687033 23688966 0.0313
4 23806218 23810016 0.0679
4 23811090 23816322 0.1509
4 23864187 23890676 0.0162
4 23961613 23967201 0.0098
4 24520701 24530277 0.0075
4 24630021 24640628 0.0279
4 24957846 24971820 0.0371
4 25082914 25088724 0.0086
4 25789342 25800959 0.0146
4 25849279 25873712 0.0067
4 26021971 26033263 0.0083
4 26207852 26212571 0.0048
4 26250725 26269765 0.0173
4 26349154 26359682 0
4 26349154 26359682 0.0188
4 26375264 26387285 0.0189
4 28316948 28326061 0.0088
4 28378013 28403440 0.0303
4 28457178 28459966 0.0041
4 29560357 29567460 0.0038
4 30118637 30232386 0.2883
4 30411949 30419505 0
4 30481780 30482190 0.0182
4 30547378 30561073 0.0079
4 30597678 30600528 0.036
4 30901709 30906129 0.0145
4 30973669 30979069 0.0297
4 31017618 31022772 0.0118
4 31090663 31094886 0.0374
4 31271783 31278804 0
4 31515284 31530816 0.0179
4 31604014 31607594 0.2395
4 31608077 31608636 0.1028
4 31709728 31725250 0.0296
4 31771885 31775335 0
4 32098461 32108128 0.0154
4 32137226 32150243 0.1588
4 32236559 32240853 0.0125
4 32240950 32243596 0.0153
4 32364662 32371197 0.028
4 32379737 32384613 0.1114
4 32384728 32387831 0.0082
4 32488034 32538593 0.0312
4 32581142 32587104 0
4 32581142 32587104 0.0424
4 32590582 32593730 0.0107
4 32590582 32593730 0.0061
5 275506 294583 0.0213
5 786575 789652 0.0513
5 834469 835775 0.021
5 842100 847047 0.0182
5 1235261 1240713 0.0172
5 1280667 1289098 0.0143
5 1488301 1595530 0.0014
5 1746291 1792725 0
5 1856846 1875130 0
5 1889351 1897596 0
5 1948087 1960541 0.0035
5 1964805 1971970 0
5 2070676 2081595 0.0041
5 2083269 2085300 0.3779
5 2092529 2120943 0.0096
5 2092529 2120943 0
5 2239200 2246209 0.0102
5 2254186 2259462 0.0214
5 2529074 2539884 0.0065
5 3438514 3454716 0.0191
5 3960091 3962905 0.0282
5 4131759 4156082 0.0062
5 4765028 4781148 0.0441
5 4765028 4781148 0.0456
5 4919290 4923420 0.0367
5 5581534 5583308 0.0246
5 5992126 5999676 0.0044
5 6197315 6212262 0.1989
5 6835177 6843962 0.0119
5 7046532 7049808 0.0163
5 7046532 7049808 0.0128
5 8058949 8060987 0.0252
5 8061728 8074029 0.0074
5 8348655 8373662 0.0083
5 8794308 8796691 0.0397
5 9518126 9521094 0.0794
5 9593495 9596985 0
5 9634157 9637430 0.0749
5 9715934 9724579 0.0989
5 9729966 9739512 0.1011
5 9740351 9744541 0.0175
5 9752010 9753346 0.0894
5 9759868 9760821 0.01
5 9854759 9863173 0.0111
5 9942067 9963447 0
5 10321127 10325727 0.0147
5 10353937 10357125 0.0127
5 10425668 10426748 0.0233
5 10509715 10512933 0.009
5 10669071 10673105 0.0635
5 11374771 11375978 0
5 11376040 11380955 0
5 11376040 11380955 0.0336
5 11530314 11534646 0.0271
5 11544593 11550263 0.0194
5 11579931 11584815 0.0557
5 11771822 11778526 0.0111
5 12116420 12128789 0
5 12143018 12152536 0.0012
5 12199130 12200797 0.058
5 12199130 12200797 0.0323
5 12216057 12219723 0.2569
6 255380 298465 0.0511
6 341078 386283 0.0935
6 341078 386283 0.1143
6 498779 507522 0.0063
6 734075 746734 0.0269
6 933407 934265 0.2698
6 934292 937136 0.0219
6 938533 978442 0.2943
6 993318 996867 0
6 1139738 1140597 0.0792
6 1320205 1324886 0.0222
6 2275401 2286634 0.0043
6 2319890 2328619 0.0266
6 2548568 2553753 0.0437
6 2623392 2632513 0.0308
6 2860444 2863959 0
6 2946546 2951616 0.0169
6 3094294 3115753 0.0233
6 3165689 3200700 0.0034
6 3442409 3447586 0
6 3442409 3447586 0.0021
6 3639819 3643625 0.0356
6 3650932 3694163 0.007
6 3650932 3694163 0.0221
6 3971466 3979314 0.0045
6 4390950 4392855 0
6 4394224 4397054 0
6 4400114 4418230 0
6 4996563 4999091 0.1163
6 5204637 5226996 0.0111
6 5817187 5820331 0.0347
6 5820167 5821469 0.113
6 5842529 5847391 0.0107
6 5854317 5864318 0.0611
6 5884178 5891657 0.0159
6 6087120 6093868 0.0321
6 6106690 6131567 0.0123
6 6358824 6377941 0.0502
6 6892332 6912340 0
6 7197268 7241670 0.0067
6 7246960 7336430 0.017
6 7611306 7689548 0.0114
6 7870637 7876119 0.0691
6 7878617 7883397 0
6 7885169 7888713 0.0417
6 7939521 7946235 0.0131
6 8589742 8610356 0.0162
6 9279541 9284697 0.0125
6 9526215 9543887 0.0465
6 9801170 9806633 0.015
6 9862404 9866201 0.0068
6 10053208 10156710 0.0069
6 10053208 10156710 0
6 10410300 10415800 0.0104
6 10538527 10559377 0
6 10882412 10887130 0.0498
6 11660215 11671041 0.0018
6 11880472 11883962 0.0313
6 11910628 11918855 0.0055
6 12246869 12261484 0
6 12459328 12462277 0.0796
6 12537633 12538976 0.0744
6 13046769 13058774 0.0496
6 13072726 13085012 0.0221
6 13101787 13105046 0.0092
6 13221791 13226902 0.0369
6 13374118 13380352 0.0128
6 13382903 13423645 0.0233
6 13726559 13729505 0.1461
6 14206945 14208461 0.7113
6 14289079 14293110 0.1546
6 14576350 14579081 0.0255
6 14974759 14976817 0.1198
6 15393128 15395144 0
6 15521491 15543739 0.004
6 15646558 15650220 0.0084
6 15676414 15682739 0.0333
6 15716541 15719357 0.0203
6 16426626 16428862 0.0143
6 16590500 16621155 0.0881
6 16851410 16855413 0.0027
6 16856594 16862328 0.0609
6 16884436 17025590 0.0462
6 17034175 17043164 0.0196
6 17045314 17071390 0.01
6 17075680 17076923 0.0356
7 527975 532446 0.0255
7 533690 538270 0.0727
7 533690 538270 0.0309
7 533690 538270 0.0065
7 697432 702151 0.0034
7 727279 738131 0.0432
7 743933 744780 0.1628
7 1064732 1078246 0.0017
7 1441478 1444706 0.0314
7 1481900 1484089 0
7 1522987 1538754 0.0664
7 1755256 1766248 0.0375
7 2242556 2251311 0.0377
7 2255056 2257655 0.1409
7 2280760 2299174 0.0164
7 2420217 2422107 0.0398
7 2422683 2438993 0.015
7 2467974 2472162 0.0082
7 2558507 2561095 0.0071
7 2913582 2915531 0
7 2919952 2922970 0.0184
7 3076904 3080943 0.04
7 3160049 3162174 0.0654
7 3222487 3232052 0.0412
7 3993749 4000926 0.0636
7 4096748 4103575 0.0216
7 4193229 4195298 0.0471
7 4349526 4352347 0.0066
7 4922502 4924058 0.0119
7 5878944 5936345 0
7 5878944 5936345 0.0026
7 6100518 6112064 0.0109
7 6623513 6654186 0
7 6663776 6665467 0.0072
7 6666220 6667306 0
7 6668657 6676279 0.0151
7 6892710 6895859 0.0321
7 6949922 6960905 0.0043
7 7126457 7155993 0.0127
7 7239835 7431018 0.0058
7 7463600 7468791 0.0849
7 7491253 7493482 0
7 7496418 7498823 0.0303
7 7786266 7809439 0.027
7 7831193 7837026 0.0029
7 8116198 8127941 0.0671
7 8493116 8525881 0
7 8975875 8977495 0.2427
7 9408874 9410882 0.3044
7 10172053 10177087 0.0709
7 10172053 10177087 0.0188
7 10180846 10198706 0.0046
7 10341551 10347519 0
7 11107960 11117215 0.0451
7 11130068 11134155 0.0056
7 12647467 12650755 0.0312
7 13068148 13075642 0.0237
7 13275786 13290208 0.0012
7 13452421 13459982 0.0204
7 14103105 14106046 0.0823
7 14183650 14212680 0
7 14225069 14226886 0.0306
7 14793405 14819213 0.0049
7 14865123 14870596 0.0082
7 14996045 15000947 0
7 15050814 15055095 0.0071
7 15140992 15195847 0
7 15454238 15462511 0.0207
7 15839921 15844216 0.0913
7 15839921 15844216 0.0982
7 16342242 16366782 0.0081
7 16804232 16815940 0.1276
7 16896044 16899867 0.1837
7 16896044 16899867 0.0518
7 17237759 17250964 0.052
7 17536427 17538070 0.0361
7 17536427 17538070 0.0138
7 17555779 17574579 0.007
7 17672904 17677820 0.0131
7 17672904 17677820 0.0125
7 17672904 17677820 0.0529
7 17823824 17827313 0.0607
7 17823824 17827313 0.0311
7 17868985 17874965 0.0472
7 17880340 17881233 0.0759
7 17911856 17932197 0
7 17946329 17953886 0
7 18693247 18697244 0.0845
7 18962839 18965340 0
7 19014182 19021265 0.0146
7 19058006 19064550 0.0399
7 19070731 19075868 0.0532
7 19164790 19169107 0.0123
7 19376347 19380259 0.0463
7 19379916 19392471 0
7 19808277 19812190 0.004
7 19841149 19845845 0.0253
7 19862568 19864174 0.0499
7 19999571 20005838 0.0319
7 20054776 20129917 0
7 20248462 20250782 0.0582
7 20967953 20976871 0.0207
7 21312694 21317635 0.0033
7 21434983 21444290 0.0611
7 21446434 21456144 0.0493
7 21503236 21509438 0.0155
7 21503236 21509438 0.0154
7 21522295 21524784 0.0025
7 21531881 21533563 0.0137
7 21553234 21555368 0
7 21643034 21651293 0.0818
7 21643034 21651293 0.074
7 21727117 21733264 0.0341
7 21762041 21835045 0
7 21876769 21881377 0.019
7 22000566 22009910 0
7 22028152 22042272 0.0062
7 22228171 22230503 0.0096
7 22252070 22257290 0
7 22252070 22257290 0.0097
7 22391171 22393530 0.0036
7 22391171 22393530 0
7 22406697 22410320 0.0109
7 22638729 22659422 0.0068
7 22791029 22813599 0.0047
7 22978590 22995217 0.0042
7 23139706 23143482 0.0017
7 23962472 23988220 0.0019
7 24888611 24890784 0.0111
7 24888611 24890784 0.0117
7 24894073 24901097 0.0259
7 25210120 25215362 0.793
7 25236144 25242747 0.0052
7 25247236 25249898 0.0325
7 25558710 25575742 0.0089
7 26218780 26226964 0.0094
7 26257019 26258074 0.0164
7 26779300 26784677 0.0073
7 26931349 26939215 0
7 27201860 27205236 0.0512
7 27211276 27233809 0.0048
7 27596111 27599396 0
7 27758209 27772965 0.0052
7 27758209 27772965 0.0012
7 27777788 27779610 0
7 27777788 27779610 0
7 27905756 27917076 0.0099
8 1243896 1252978 0.0049
8 1637004 1643277 0
8 1947119 1949130 0.0252
8 2132916 2145512 0.0316
8 2340978 2344885 0.0157
8 2356295 2370131 0.0568
8 2751137 2756456 0.0232
8 3125646 3129121 0.033
8 3130255 3133238 0.0189
8 3139462 3144558 0.0087
8 3184387 3193250 0.0244
8 3253480 3280790 0.3669
8 4566579 4571023 0.0268
8 5057122 5059646 0.0764
8 5061230 5065590 0.0986
8 5068181 5071857 0.1735
8 5660047 5661351 0.014
8 5803165 5824796 0.1069
8 6002241 6009459 0.0109
8 6356136 6360741 0.0964
8 6364215 6377038 0
8 6565695 6568855 0.02
8 6647309 6655988 0.0414
8 6657318 6661730 0.0149
8 6672511 6675919 0.0733
8 7136717 7182201 0.0134
8 7564669 7567730 0.0173
8 7741733 7748325 0.0158
8 7971478 7992100 0.0395
8 8001904 8007260 0.0261
8 8001904 8007260 0.0076
8 8424316 8425927 0.0357
8 8495959 8497654 0.073
8 8498118 8499312 0.1076
8 8499419 8502408 0.1866
8 8519939 8540860 0.1363
8 8680085 8688792 0.0319
8 9278187 9279904 0
8 9507309 9514916 0.0177
8 10503534 10559194 0.0028
8 10775000 10780521 0.5801
8 11368224 11373962 0.0465
8 11376567 11401655 0.0178
8 11460028 11488636 0.0078
8 11764463 11771444 0.0114
8 11792519 11801115 0.0153
8 12030003 12039117 0.0464
8 12452845 12462417 0.0253
8 12452845 12462417 0.0319
8 12491787 12515319 0.0315
8 12491787 12515319 0.0522
8 12491787 12515319 0.0688
8 12491787 12515319 0.0496
8 12491787 12515319 0.0679
8 12491787 12515319 0.048
8 12519822 12529347 0.0495
8 12519822 12529347 0.0375
8 12622780 12626032 0
8 12626138 12633450 0
8 12743498 12756721 0.0258
8 13126242 13251999 0.6668
8 13255573 13285202 0.0569
8 13397200 13402356 0.026
8 13614287 13635116 0.1039
8 14292465 14293697 0.113
8 14348056 14365334 0.0048
8 14421114 14427943 0.0175
8 14441325 14443294 0.0207
8 14441325 14443294 0
8 15017936 15018938 0.0577
8 15043273 15065072 0
8 15070643 15090855 0.0086
8 15158424 15165942 0.04
8 15158424 15165942 0.0388
8 15177443 15184869 0.0682
8 15233621 15236085 0.192
8 15473521 15477139 0.1708
8 15990175 15995021 0.0211
8 16264982 16271033 0.006
8 16626388 16635545 0.087
8 16685251 16688857 0.0085
8 16884700 16891515 0.0019
8 17206369 17210137 0.072
8 17242910 17245367 0.0606
8 17282457 17286915 0.0199
8 17404861 17409667 0.0207
8 17438399 17443824 0.0191
8 17443903 17450759 0.007
8 17468885 17472470 0.0338
8 18047641 18053061 0
8 18184425 18197819 0.0294
8 18433623 18438048 0.0148
8 18757229 18761036 0.0149
8 19058633 19063046 0.0088
8 19098864 19105602 0.0426
8 19106719 19119924 0.0252
8 19106719 19119924 0.1728
8 19322257 19332604 NA
9 536211 537286 0.1349
9 593740 621162 0.0109
9 1362937 1373972 0.0097
9 1362937 1373972 0
9 1416677 1419531 0.0154
9 1637586 1643693 0.0658
9 1712684 1715560 0.0056
9 1712684 1715560 0.0139
9 1722509 1726582 0.0144
9 1738820 1741663 0.0087
9 1744946 1762062 0.0053
9 3021294 3027525 0.0489
9 3150768 3161520 0.1472
9 3210036 3214271 0.0759
9 4423617 4442232 0.0061
9 4594592 4597964 0
9 4632810 4635251 0.0173
9 4801025 4805201 0.0105
9 4852741 4874111 0.0335
9 4852741 4874111 0.0179
9 4859254 4872299 0.0205
9 4874660 4879492 0.0417
9 5136947 5143052 0.0065
9 5329208 5351732 0.0172
9 5364846 5375967 0
9 5484650 5487425 0.0309
9 5558990 5568796 0.0869
9 5558990 5568796 0.0288
9 5649105 5707283 0.0131
9 5968076 5979255 0.0054
9 5980256 5984968 0.6342
9 6047087 6054036 0.0578
9 6335797 6338984 0.0055
9 7484185 7497775 0.0418
9 7510635 7512234 0.1044
9 7548693 7573278 0.0024
9 8015408 8022401 0.0549
9 8032620 8045483 0.003
9 8748508 8759696 0
9 8779606 8783209 0.0038
9 8795876 8802274 0.0129
9 8921190 8924491 0.3748
9 8925643 8951525 0
9 9406133 9408467 0.0173
9 9526594 9555967 0.2629
9 9645774 9651002 0.0197
9 9738881 9747365 0.0082
9 9801277 9804719 0.0766
9 10171914 10174516 0.0275
9 10226383 10235967 0.0167
9 10750399 10773769 0.0092
9 10923213 10926600 0.0121
9 10988528 10993687 0.0077
9 11006712 11023413 0.0061
9 11030049 11034021 0.002
9 11112360 11139579 0.0049
9 11112360 11139579 0.0412
9 12257198 12269946 0.0068
9 12782664 12786527 0.1154
9 12786996 12790183 0.0386
9 12938360 12970109 0.0022
9 13131695 13177741 0
9 13525392 13552433 0.0156
9 13630506 13635692 0.0263
9 13638390 13645762 0.0106
