"lg","pos1","pos2","comparison","outlier","ecotype"
"1",8250000,8324999,"lq",NA,"ben.lim"
"1",8325000,8399999,"lq",NA,"ben.lim"
"1",8400000,8474999,"lq","FALSE","ben.lim"
"1",8475000,8549999,"lq",NA,"ben.lim"
"1",8550000,8624999,"lq","FALSE","ben.lim"
"1",8625000,8699999,"lq",NA,"ben.lim"
"1",8700000,8774999,"lq",NA,"ben.lim"
"1",8775000,8849999,"lq",NA,"ben.lim"
"1",8850000,8924999,"lq","FALSE","ben.lim"
"1",8925000,8999999,"lq","FALSE","ben.lim"
"1",9e+06,9074999,"lq"," TRUE","ben.lim"
"1",9075000,9149999,"lq","FALSE","ben.lim"
"1",9150000,9224999,"lq","FALSE","ben.lim"
"1",9225000,9299999,"lq",NA,"ben.lim"
"1",9300000,9374999,"lq",NA,"ben.lim"
"1",9375000,9449999,"lq"," TRUE","ben.lim"
"1",9450000,9524999,"lq","FALSE","ben.lim"
"1",9525000,9599999,"lq",NA,"ben.lim"
"1",9600000,9674999,"lq",NA,"ben.lim"
"1",9675000,9749999,"lq","FALSE","ben.lim"
"1",9750000,9824999,"lq"," TRUE","ben.lim"
"1",9825000,9899999,"lq"," TRUE","ben.lim"
"1",9900000,9974999,"lq"," TRUE","ben.lim"
"1",9975000,10049999,"lq"," TRUE","ben.lim"
"1",10050000,10124999,"lq"," TRUE","ben.lim"
"1",10125000,10199999,"lq"," TRUE","ben.lim"
"1",10200000,10274999,"lq"," TRUE","ben.lim"
"1",10275000,10349999,"lq","FALSE","ben.lim"
"1",10350000,10424999,"lq"," TRUE","ben.lim"
"1",10425000,10499999,"lq",NA,"ben.lim"
"1",10500000,10574999,"lq","FALSE","ben.lim"
"1",10575000,10649999,"lq","FALSE","ben.lim"
"1",10650000,10724999,"lq",NA,"ben.lim"
"1",10725000,10799999,"lq","FALSE","ben.lim"
"1",10800000,10874999,"lq",NA,"ben.lim"
"1",10875000,10949999,"lq",NA,"ben.lim"
"1",10950000,11024999,"lq","FALSE","ben.lim"
"1",11025000,11099999,"lq",NA,"ben.lim"
"1",11100000,11174999,"lq","FALSE","ben.lim"
"1",11175000,11249999,"lq"," TRUE","ben.lim"
"1",11250000,11324999,"lq","FALSE","ben.lim"
"1",11325000,11399999,"lq","FALSE","ben.lim"
"1",11400000,11474999,"lq","FALSE","ben.lim"
"1",11475000,11549999,"lq","FALSE","ben.lim"
"1",11550000,11624999,"lq"," TRUE","ben.lim"
"1",11625000,11699999,"lq"," TRUE","ben.lim"
"1",11700000,11774999,"lq"," TRUE","ben.lim"
"1",11775000,11849999,"lq",NA,"ben.lim"
"1",11850000,11924999,"lq","FALSE","ben.lim"
"1",11925000,11999999,"lq","FALSE","ben.lim"
"1",1.2e+07,12074999,"lq","FALSE","ben.lim"
"1",12075000,12149999,"lq","FALSE","ben.lim"
"1",12150000,12224999,"lq","FALSE","ben.lim"
"1",12225000,12299999,"lq","FALSE","ben.lim"
"1",12300000,12374999,"lq","FALSE","ben.lim"
"1",12375000,12449999,"lq","FALSE","ben.lim"
"1",12450000,12524999,"lq","FALSE","ben.lim"
"1",12525000,12599999,"lq","FALSE","ben.lim"
"1",12600000,12674999,"lq",NA,"ben.lim"
"1",12675000,12749999,"lq",NA,"ben.lim"
"1",12750000,12824999,"lq","FALSE","ben.lim"
"1",12825000,12899999,"lq","FALSE","ben.lim"
"1",12900000,12974999,"lq","FALSE","ben.lim"
"1",12975000,13049999,"lq",NA,"ben.lim"
"1",13050000,13124999,"lq","FALSE","ben.lim"
"1",13125000,13199999,"lq","FALSE","ben.lim"
"1",13200000,13274999,"lq"," TRUE","ben.lim"
"1",13275000,13349999,"lq","FALSE","ben.lim"
"1",13350000,13424999,"lq","FALSE","ben.lim"
"1",13425000,13499999,"lq","FALSE","ben.lim"
"1",13500000,13574999,"lq","FALSE","ben.lim"
"1",13575000,13649999,"lq","FALSE","ben.lim"
"1",13650000,13724999,"lq","FALSE","ben.lim"
"1",13725000,13799999,"lq"," TRUE","ben.lim"
"1",13800000,13874999,"lq","FALSE","ben.lim"
"1",13875000,13949999,"lq"," TRUE","ben.lim"
"1",13950000,14024999,"lq","FALSE","ben.lim"
"1",14025000,14099999,"lq",NA,"ben.lim"
"1",14100000,14174999,"lq",NA,"ben.lim"
"1",14175000,14249999,"lq","FALSE","ben.lim"
"1",14250000,14324999,"lq","FALSE","ben.lim"
"1",14325000,14399999,"lq","FALSE","ben.lim"
"1",14400000,14474999,"lq",NA,"ben.lim"
"1",14475000,14549999,"lq",NA,"ben.lim"
"1",14550000,14624999,"lq","FALSE","ben.lim"
"1",14625000,14699999,"lq","FALSE","ben.lim"
"1",14700000,14774999,"lq",NA,"ben.lim"
"1",14775000,14849999,"lq","FALSE","ben.lim"
"1",14850000,14924999,"lq","FALSE","ben.lim"
"1",14925000,14999999,"lq",NA,"ben.lim"
"1",1.5e+07,15074999,"lq","FALSE","ben.lim"
"1",15075000,15149999,"lq","FALSE","ben.lim"
"1",15150000,15224999,"lq",NA,"ben.lim"
"1",15225000,15299999,"lq","FALSE","ben.lim"
"1",15300000,15374999,"lq",NA,"ben.lim"
"1",15375000,15449999,"lq","FALSE","ben.lim"
"1",15450000,15524999,"lq","FALSE","ben.lim"
"1",15525000,15599999,"lq","FALSE","ben.lim"
"1",15600000,15674999,"lq","FALSE","ben.lim"
"1",15675000,15749999,"lq","FALSE","ben.lim"
"1",15750000,15824999,"lq","FALSE","ben.lim"
"1",15825000,15899999,"lq","FALSE","ben.lim"
"1",15900000,15974999,"lq",NA,"ben.lim"
"1",15975000,16049999,"lq","FALSE","ben.lim"
"1",16050000,16124999,"lq","FALSE","ben.lim"
"1",16125000,16199999,"lq","FALSE","ben.lim"
"1",16200000,16274999,"lq","FALSE","ben.lim"
"1",16275000,16349999,"lq","FALSE","ben.lim"
"1",16350000,16424999,"lq","FALSE","ben.lim"
"1",16425000,16499999,"lq","FALSE","ben.lim"
"1",16500000,16574999,"lq","FALSE","ben.lim"
"1",16575000,16649999,"lq","FALSE","ben.lim"
"1",16650000,16724999,"lq","FALSE","ben.lim"
"1",16725000,16799999,"lq","FALSE","ben.lim"
"1",16800000,16874999,"lq","FALSE","ben.lim"
"1",16875000,16949999,"lq","FALSE","ben.lim"
"1",16950000,17024999,"lq","FALSE","ben.lim"
"1",17025000,17099999,"lq","FALSE","ben.lim"
"1",17100000,17174999,"lq","FALSE","ben.lim"
"1",17175000,17249999,"lq",NA,"ben.lim"
"1",17250000,17324999,"lq","FALSE","ben.lim"
"1",17325000,17399999,"lq","FALSE","ben.lim"
"1",17400000,17474999,"lq","FALSE","ben.lim"
"1",17475000,17549999,"lq",NA,"ben.lim"
"1",17550000,17624999,"lq",NA,"ben.lim"
"1",17625000,17699999,"lq",NA,"ben.lim"
"1",17700000,17774999,"lq",NA,"ben.lim"
"1",17775000,17849999,"lq","FALSE","ben.lim"
"1",17850000,17924999,"lq","FALSE","ben.lim"
"1",17925000,17999999,"lq","FALSE","ben.lim"
"1",1.8e+07,18074999,"lq","FALSE","ben.lim"
"1",18075000,18149999,"lq",NA,"ben.lim"
"1",18150000,18224999,"lq","FALSE","ben.lim"
"1",18225000,18299999,"lq",NA,"ben.lim"
"1",18300000,18374999,"lq","FALSE","ben.lim"
"1",18375000,18449999,"lq","FALSE","ben.lim"
"1",18450000,18524999,"lq","FALSE","ben.lim"
"1",18525000,18599999,"lq","FALSE","ben.lim"
"1",18600000,18674999,"lq","FALSE","ben.lim"
"1",18675000,18749999,"lq",NA,"ben.lim"
"1",18750000,18824999,"lq","FALSE","ben.lim"
"1",18825000,18899999,"lq",NA,"ben.lim"
"1",18900000,18974999,"lq","FALSE","ben.lim"
"1",18975000,19049999,"lq",NA,"ben.lim"
"1",19050000,19124999,"lq",NA,"ben.lim"
"1",19125000,19199999,"lq",NA,"ben.lim"
"1",19200000,19274999,"lq",NA,"ben.lim"
"1",19275000,19349999,"lq","FALSE","ben.lim"
"1",19350000,19424999,"lq",NA,"ben.lim"
"1",19425000,19499999,"lq",NA,"ben.lim"
"1",19500000,19574999,"lq",NA,"ben.lim"
"1",19575000,19649999,"lq",NA,"ben.lim"
"1",19650000,19724999,"lq",NA,"ben.lim"
"1",19725000,19799999,"lq","FALSE","ben.lim"
"1",19800000,19874999,"lq",NA,"ben.lim"
"1",19875000,19949999,"lq",NA,"ben.lim"
"1",19950000,20024999,"lq","FALSE","ben.lim"
"1",20025000,20099999,"lq","FALSE","ben.lim"
"1",20100000,20174999,"lq","FALSE","ben.lim"
"1",20175000,20249999,"lq","FALSE","ben.lim"
"1",20250000,20324999,"lq",NA,"ben.lim"
"1",20325000,20399999,"lq",NA,"ben.lim"
"1",20400000,20474999,"lq",NA,"ben.lim"
"1",20475000,20549999,"lq","FALSE","ben.lim"
"1",20550000,20624999,"lq","FALSE","ben.lim"
"1",20625000,20699999,"lq",NA,"ben.lim"
"1",20700000,20774999,"lq","FALSE","ben.lim"
"1",20775000,20849999,"lq",NA,"ben.lim"
"1",20850000,20924999,"lq","FALSE","ben.lim"
"1",20925000,20999999,"lq","FALSE","ben.lim"
"1",2.1e+07,21074999,"lq","FALSE","ben.lim"
"1",21075000,21149999,"lq",NA,"ben.lim"
"1",21150000,21224999,"lq","FALSE","ben.lim"
"1",21225000,21299999,"lq","FALSE","ben.lim"
"1",21300000,21374999,"lq","FALSE","ben.lim"
"1",21375000,21449999,"lq","FALSE","ben.lim"
"1",21450000,21524999,"lq","FALSE","ben.lim"
"1",21525000,21599999,"lq","FALSE","ben.lim"
"1",21600000,21674999,"lq","FALSE","ben.lim"
"1",21675000,21749999,"lq","FALSE","ben.lim"
"1",21750000,21824999,"lq",NA,"ben.lim"
"1",21825000,21899999,"lq","FALSE","ben.lim"
"1",21900000,21974999,"lq","FALSE","ben.lim"
"1",21975000,22049999,"lq","FALSE","ben.lim"
"1",22050000,22124999,"lq","FALSE","ben.lim"
"1",22125000,22199999,"lq","FALSE","ben.lim"
"1",22200000,22274999,"lq","FALSE","ben.lim"
"1",22275000,22349999,"lq","FALSE","ben.lim"
"1",22350000,22424999,"lq","FALSE","ben.lim"
"1",22425000,22499999,"lq","FALSE","ben.lim"
"1",22500000,22574999,"lq","FALSE","ben.lim"
"1",22575000,22649999,"lq",NA,"ben.lim"
"1",22650000,22724999,"lq","FALSE","ben.lim"
"1",22725000,22799999,"lq","FALSE","ben.lim"
"1",22800000,22874999,"lq","FALSE","ben.lim"
"1",22875000,22949999,"lq","FALSE","ben.lim"
"1",22950000,23024999,"lq","FALSE","ben.lim"
"1",23025000,23099999,"lq","FALSE","ben.lim"
"1",23100000,23174999,"lq",NA,"ben.lim"
"1",23175000,23249999,"lq",NA,"ben.lim"
"1",23250000,23324999,"lq",NA,"ben.lim"
"1",23325000,23399999,"lq","FALSE","ben.lim"
"1",23400000,23474999,"lq","FALSE","ben.lim"
"1",23475000,23549999,"lq","FALSE","ben.lim"
"1",23550000,23624999,"lq","FALSE","ben.lim"
"1",23625000,23699999,"lq",NA,"ben.lim"
"1",23700000,23774999,"lq","FALSE","ben.lim"
"1",23775000,23849999,"lq","FALSE","ben.lim"
"1",23850000,23924999,"lq","FALSE","ben.lim"
"1",23925000,23999999,"lq","FALSE","ben.lim"
"1",2.4e+07,24074999,"lq","FALSE","ben.lim"
"1",24075000,24149999,"lq",NA,"ben.lim"
"1",24150000,24224999,"lq"," TRUE","ben.lim"
"1",24225000,24299999,"lq",NA,"ben.lim"
"1",24300000,24374999,"lq","FALSE","ben.lim"
"1",24375000,24449999,"lq","FALSE","ben.lim"
"1",24450000,24524999,"lq","FALSE","ben.lim"
"1",24525000,24599999,"lq",NA,"ben.lim"
"1",24600000,24674999,"lq",NA,"ben.lim"
"1",24675000,24749999,"lq","FALSE","ben.lim"
"1",24750000,24824999,"lq",NA,"ben.lim"
"1",24825000,24899999,"lq",NA,"ben.lim"
"1",24900000,24974999,"lq",NA,"ben.lim"
"1",24975000,25049999,"lq",NA,"ben.lim"
"1",25050000,25124999,"lq",NA,"ben.lim"
"1",25125000,25199999,"lq","FALSE","ben.lim"
"1",25200000,25274999,"lq","FALSE","ben.lim"
"1",25275000,25349999,"lq",NA,"ben.lim"
"1",25350000,25424999,"lq",NA,"ben.lim"
"1",25425000,25499999,"lq",NA,"ben.lim"
"1",25500000,25574999,"lq",NA,"ben.lim"
"1",25575000,25649999,"lq",NA,"ben.lim"
"1",25650000,25724999,"lq",NA,"ben.lim"
"1",25725000,25799999,"lq","FALSE","ben.lim"
"1",25800000,25874999,"lq",NA,"ben.lim"
"1",25875000,25949999,"lq","FALSE","ben.lim"
"1",25950000,26024999,"lq",NA,"ben.lim"
"1",26025000,26099999,"lq","FALSE","ben.lim"
"1",26100000,26174999,"lq",NA,"ben.lim"
"1",26175000,26249999,"lq",NA,"ben.lim"
"1",26250000,26324999,"lq","FALSE","ben.lim"
"1",26325000,26399999,"lq",NA,"ben.lim"
"1",26400000,26474999,"lq",NA,"ben.lim"
"1",26475000,26549999,"lq",NA,"ben.lim"
"1",26550000,26624999,"lq",NA,"ben.lim"
"1",26625000,26699999,"lq",NA,"ben.lim"
"1",26700000,26774999,"lq",NA,"ben.lim"
"1",26775000,26849999,"lq","FALSE","ben.lim"
"1",26850000,26924999,"lq","FALSE","ben.lim"
"1",26925000,26999999,"lq","FALSE","ben.lim"
"1",2.7e+07,27074999,"lq","FALSE","ben.lim"
"1",27075000,27149999,"lq",NA,"ben.lim"
"1",27150000,27224999,"lq",NA,"ben.lim"
"1",27225000,27299999,"lq","FALSE","ben.lim"
"1",27300000,27374999,"lq","FALSE","ben.lim"
"1",27375000,27449999,"lq","FALSE","ben.lim"
"1",27450000,27524999,"lq",NA,"ben.lim"
"1",27525000,27599999,"lq",NA,"ben.lim"
"1",27600000,27674999,"lq","FALSE","ben.lim"
"1",27675000,27749999,"lq","FALSE","ben.lim"
"1",27750000,27824999,"lq","FALSE","ben.lim"
"1",27825000,27899999,"lq","FALSE","ben.lim"
"1",27900000,27974999,"lq","FALSE","ben.lim"
"1",27975000,28049999,"lq","FALSE","ben.lim"
"1",28050000,28124999,"lq","FALSE","ben.lim"
"1",28125000,28199999,"lq",NA,"ben.lim"
"2",1,74999,"lq",NA,"ben.lim"
"2",75000,149999,"lq",NA,"ben.lim"
"2",150000,224999,"lq","FALSE","ben.lim"
"2",225000,299999,"lq","FALSE","ben.lim"
"2",3e+05,374999,"lq","FALSE","ben.lim"
"2",375000,449999,"lq","FALSE","ben.lim"
"2",450000,524999,"lq","FALSE","ben.lim"
"2",525000,599999,"lq","FALSE","ben.lim"
"2",6e+05,674999,"lq",NA,"ben.lim"
"2",675000,749999,"lq","FALSE","ben.lim"
"2",750000,824999,"lq",NA,"ben.lim"
"2",825000,899999,"lq",NA,"ben.lim"
"2",9e+05,974999,"lq","FALSE","ben.lim"
"2",975000,1049999,"lq",NA,"ben.lim"
"2",1050000,1124999,"lq",NA,"ben.lim"
"2",1125000,1199999,"lq",NA,"ben.lim"
"2",1200000,1274999,"lq",NA,"ben.lim"
"2",1275000,1349999,"lq",NA,"ben.lim"
"2",1350000,1424999,"lq","FALSE","ben.lim"
"2",1425000,1499999,"lq","FALSE","ben.lim"
"2",1500000,1574999,"lq",NA,"ben.lim"
"2",1575000,1649999,"lq",NA,"ben.lim"
"2",1650000,1724999,"lq",NA,"ben.lim"
"2",1725000,1799999,"lq",NA,"ben.lim"
"2",1800000,1874999,"lq",NA,"ben.lim"
"2",1875000,1949999,"lq","FALSE","ben.lim"
"2",1950000,2024999,"lq","FALSE","ben.lim"
"2",2025000,2099999,"lq","FALSE","ben.lim"
"2",2100000,2174999,"lq","FALSE","ben.lim"
"2",2175000,2249999,"lq","FALSE","ben.lim"
"2",2250000,2324999,"lq","FALSE","ben.lim"
"2",2325000,2399999,"lq",NA,"ben.lim"
"2",2400000,2474999,"lq","FALSE","ben.lim"
"2",2475000,2549999,"lq","FALSE","ben.lim"
"2",2550000,2624999,"lq","FALSE","ben.lim"
"2",2625000,2699999,"lq",NA,"ben.lim"
"2",2700000,2774999,"lq","FALSE","ben.lim"
"2",2775000,2849999,"lq","FALSE","ben.lim"
"2",2850000,2924999,"lq","FALSE","ben.lim"
"2",2925000,2999999,"lq",NA,"ben.lim"
"2",3e+06,3074999,"lq","FALSE","ben.lim"
"2",3075000,3149999,"lq","FALSE","ben.lim"
"2",3150000,3224999,"lq","FALSE","ben.lim"
"2",3225000,3299999,"lq","FALSE","ben.lim"
"2",3300000,3374999,"lq","FALSE","ben.lim"
"2",3375000,3449999,"lq","FALSE","ben.lim"
"2",3450000,3524999,"lq","FALSE","ben.lim"
"2",3525000,3599999,"lq","FALSE","ben.lim"
"2",3600000,3674999,"lq",NA,"ben.lim"
"2",3675000,3749999,"lq","FALSE","ben.lim"
"2",3750000,3824999,"lq","FALSE","ben.lim"
"2",3825000,3899999,"lq","FALSE","ben.lim"
"2",3900000,3974999,"lq","FALSE","ben.lim"
"2",3975000,4049999,"lq",NA,"ben.lim"
"2",4050000,4124999,"lq","FALSE","ben.lim"
"2",4125000,4199999,"lq","FALSE","ben.lim"
"2",4200000,4274999,"lq",NA,"ben.lim"
"2",4275000,4349999,"lq","FALSE","ben.lim"
"2",4350000,4424999,"lq","FALSE","ben.lim"
"2",4425000,4499999,"lq","FALSE","ben.lim"
"2",4500000,4574999,"lq","FALSE","ben.lim"
"2",4575000,4649999,"lq","FALSE","ben.lim"
"2",4650000,4724999,"lq","FALSE","ben.lim"
"2",4725000,4799999,"lq","FALSE","ben.lim"
"2",4800000,4874999,"lq",NA,"ben.lim"
"2",4875000,4949999,"lq","FALSE","ben.lim"
"2",4950000,5024999,"lq","FALSE","ben.lim"
"2",5025000,5099999,"lq","FALSE","ben.lim"
"2",5100000,5174999,"lq","FALSE","ben.lim"
"2",5175000,5249999,"lq","FALSE","ben.lim"
"2",5250000,5324999,"lq","FALSE","ben.lim"
"2",5325000,5399999,"lq","FALSE","ben.lim"
"2",5400000,5474999,"lq","FALSE","ben.lim"
"2",5475000,5549999,"lq","FALSE","ben.lim"
"2",5550000,5624999,"lq","FALSE","ben.lim"
"2",5625000,5699999,"lq","FALSE","ben.lim"
"2",5700000,5774999,"lq","FALSE","ben.lim"
"2",5775000,5849999,"lq","FALSE","ben.lim"
"2",5850000,5924999,"lq","FALSE","ben.lim"
"2",5925000,5999999,"lq","FALSE","ben.lim"
"2",6e+06,6074999,"lq",NA,"ben.lim"
"2",6075000,6149999,"lq","FALSE","ben.lim"
"2",6150000,6224999,"lq","FALSE","ben.lim"
"2",6225000,6299999,"lq",NA,"ben.lim"
"2",6300000,6374999,"lq","FALSE","ben.lim"
"2",6375000,6449999,"lq",NA,"ben.lim"
"2",6450000,6524999,"lq",NA,"ben.lim"
"2",6525000,6599999,"lq","FALSE","ben.lim"
"2",6600000,6674999,"lq","FALSE","ben.lim"
"2",6675000,6749999,"lq","FALSE","ben.lim"
"2",6750000,6824999,"lq",NA,"ben.lim"
"2",6825000,6899999,"lq",NA,"ben.lim"
"2",6900000,6974999,"lq",NA,"ben.lim"
"2",6975000,7049999,"lq","FALSE","ben.lim"
"2",7050000,7124999,"lq",NA,"ben.lim"
"2",7125000,7199999,"lq","FALSE","ben.lim"
"2",7200000,7274999,"lq","FALSE","ben.lim"
"2",7275000,7349999,"lq","FALSE","ben.lim"
"2",7350000,7424999,"lq","FALSE","ben.lim"
"2",7425000,7499999,"lq",NA,"ben.lim"
"2",7500000,7574999,"lq","FALSE","ben.lim"
"2",7575000,7649999,"lq","FALSE","ben.lim"
"2",7650000,7724999,"lq"," TRUE","ben.lim"
"2",7725000,7799999,"lq"," TRUE","ben.lim"
"2",7800000,7874999,"lq",NA,"ben.lim"
"2",7875000,7949999,"lq",NA,"ben.lim"
"2",7950000,8024999,"lq",NA,"ben.lim"
"2",8025000,8099999,"lq",NA,"ben.lim"
"2",8100000,8174999,"lq",NA,"ben.lim"
"2",8175000,8249999,"lq","FALSE","ben.lim"
"2",8250000,8324999,"lq","FALSE","ben.lim"
"2",8325000,8399999,"lq","FALSE","ben.lim"
"2",8400000,8474999,"lq","FALSE","ben.lim"
"2",8475000,8549999,"lq","FALSE","ben.lim"
"2",8550000,8624999,"lq"," TRUE","ben.lim"
"2",8625000,8699999,"lq",NA,"ben.lim"
"2",8700000,8774999,"lq",NA,"ben.lim"
"2",8775000,8849999,"lq","FALSE","ben.lim"
"2",8850000,8924999,"lq",NA,"ben.lim"
"2",8925000,8999999,"lq","FALSE","ben.lim"
"2",9e+06,9074999,"lq","FALSE","ben.lim"
"2",9075000,9149999,"lq","FALSE","ben.lim"
"2",9150000,9224999,"lq","FALSE","ben.lim"
"2",9225000,9299999,"lq",NA,"ben.lim"
"2",9300000,9374999,"lq",NA,"ben.lim"
"2",9375000,9449999,"lq",NA,"ben.lim"
"2",9450000,9524999,"lq","FALSE","ben.lim"
"2",9525000,9599999,"lq",NA,"ben.lim"
"2",9600000,9674999,"lq",NA,"ben.lim"
"2",9675000,9749999,"lq",NA,"ben.lim"
"2",9750000,9824999,"lq",NA,"ben.lim"
"2",9825000,9899999,"lq",NA,"ben.lim"
"2",9900000,9974999,"lq","FALSE","ben.lim"
"2",9975000,10049999,"lq"," TRUE","ben.lim"
"2",10050000,10124999,"lq"," TRUE","ben.lim"
"2",10125000,10199999,"lq",NA,"ben.lim"
"2",10200000,10274999,"lq","FALSE","ben.lim"
"2",10275000,10349999,"lq","FALSE","ben.lim"
"2",10350000,10424999,"lq"," TRUE","ben.lim"
"2",10425000,10499999,"lq"," TRUE","ben.lim"
"2",10500000,10574999,"lq","FALSE","ben.lim"
"2",10575000,10649999,"lq"," TRUE","ben.lim"
"2",10650000,10724999,"lq","FALSE","ben.lim"
"2",10725000,10799999,"lq",NA,"ben.lim"
"2",10800000,10874999,"lq","FALSE","ben.lim"
"2",10875000,10949999,"lq",NA,"ben.lim"
